"V1","bird","sex","tissue","treatment","group","study","sextissue","samples","hiloPRL","external"
"r41.w99.x_male_hypothalamus_hatch","r41.w99.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization","male_hypothalamus","r41.w99.x_male_hypothalamus_hatch","hi","chicks"
"r41.w99.x_male_pituitary_hatch","r41.w99.x","male","pituitary","hatch","male.pituitary.hatch","charcterization","male_pituitary","r41.w99.x_male_pituitary_hatch","hi","chicks"
"r45.X_male_gonad_inc.d9","r45.X","male","gonads","inc.d9","male.gonads.inc.d9","charcterization","male_gonads","r45.X_male_gonad_inc.d9","lo","eggs"
"r45.X_male_pituitary_inc.d9","r45.X","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization","male_pituitary","r45.X_male_pituitary_inc.d9","lo","eggs"
"r49.w189.x_female_gonad_inc.d17","r49.w189.x","female","gonads","inc.d17","female.gonads.inc.d17","charcterization","female_gonads","r49.w189.x_female_gonad_inc.d17","hi","eggs"
"r49.w189.x_female_hypothalamus_inc.d17","r49.w189.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization","female_hypothalamus","r49.w189.x_female_hypothalamus_inc.d17","hi","eggs"
"r49.w189.x_female_pituitary_inc.d17","r49.w189.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization","female_pituitary","r49.w189.x_female_pituitary_inc.d17","hi","eggs"
"r6.x_female_gonad_control.NYNO","r6.x","female","gonads","control","female.gonads.control","charcterization","female_gonads","r6.x_female_gonad_control.NYNO","lo","control"
"r6.x_female_hypothalamus_control.NYNO","r6.x","female","hypothalamus","control","female.hypothalamus.control","charcterization","female_hypothalamus","r6.x_female_hypothalamus_control.NYNO","lo","control"
"r6.x_female_pituitary_control","r6.x","female","pituitary","control","female.pituitary.control","charcterization","female_pituitary","r6.x_female_pituitary_control","lo","control"
"r72.y83.x_male_gonad_hatch","r72.y83.x","male","gonads","hatch","male.gonads.hatch","charcterization","male_gonads","r72.y83.x_male_gonad_hatch","hi","chicks"
"r72.y83.x_male_hypothalamus_hatch","r72.y83.x","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization","male_hypothalamus","r72.y83.x_male_hypothalamus_hatch","hi","chicks"
"r72.y83.x_male_pituitary_hatch","r72.y83.x","male","pituitary","hatch","male.pituitary.hatch","charcterization","male_pituitary","r72.y83.x_male_pituitary_hatch","hi","chicks"
"r73.g127.x_female_gonad_inc.d3","r73.g127.x","female","gonads","inc.d3","female.gonads.inc.d3","charcterization","female_gonads","r73.g127.x_female_gonad_inc.d3","lo","eggs"
"r73.g127.x_female_hypothalamus_inc.d3","r73.g127.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization","female_hypothalamus","r73.g127.x_female_hypothalamus_inc.d3","lo","eggs"
"r73.g127.x_female_pituitary_inc.d3","r73.g127.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization","female_pituitary","r73.g127.x_female_pituitary_inc.d3","lo","eggs"
"r81.x_male_gonad_inc.prolong","r81.x","male","gonads","prolong","male.gonads.prolong","manipulation","male_gonads","r81.x_male_gonad_inc.prolong","hi","eggs"
"r81.x_male_hypothalamus_inc.prolong","r81.x","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation","male_hypothalamus","r81.x_male_hypothalamus_inc.prolong","hi","eggs"
"r81.x_male_pituitary_inc.prolong","r81.x","male","pituitary","prolong","male.pituitary.prolong","manipulation","male_pituitary","r81.x_male_pituitary_inc.prolong","hi","eggs"
"r83.g45_female_gonad_bldg","r83.g45","female","gonads","bldg","female.gonads.bldg","charcterization","female_gonads","r83.g45_female_gonad_bldg","lo","nest"
"r83.g45_female_hypothalamus_bldg","r83.g45","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization","female_hypothalamus","r83.g45_female_hypothalamus_bldg","lo","nest"
"r83.g45_female_pituitary_bldg","r83.g45","female","pituitary","bldg","female.pituitary.bldg","charcterization","female_pituitary","r83.g45_female_pituitary_bldg","lo","nest"
"r84.x_male_gonad_m.inc.d9","r84.x","male","gonads","m.inc.d9","male.gonads.m.inc.d9","manipulation","male_gonads","r84.x_male_gonad_m.inc.d9","lo","nest"
"r84.x_male_hypothalamus_m.inc.d9","r84.x","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation","male_hypothalamus","r84.x_male_hypothalamus_m.inc.d9","lo","nest"
"r84.x_male_pituitary_m.inc.d9","r84.x","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation","male_pituitary","r84.x_male_pituitary_m.inc.d9","lo","nest"
"r85.g39_male_gonad_m.inc.d9.NYNO","r85.g39","male","gonads","m.inc.d9","male.gonads.m.inc.d9","manipulation","male_gonads","r85.g39_male_gonad_m.inc.d9.NYNO","lo","nest"
"r85.g39_male_hypothalamus_m.inc.d9","r85.g39","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation","male_hypothalamus","r85.g39_male_hypothalamus_m.inc.d9","lo","nest"
"r85.g39_male_pituitary_m.inc.d9.NYNO","r85.g39","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation","male_pituitary","r85.g39_male_pituitary_m.inc.d9.NYNO","lo","nest"
"r90.x_male_gonad_inc.prolong","r90.x","male","gonads","prolong","male.gonads.prolong","manipulation","male_gonads","r90.x_male_gonad_inc.prolong","hi","eggs"
"r90.x_male_hypothalamus_inc.prolong","r90.x","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation","male_hypothalamus","r90.x_male_hypothalamus_inc.prolong","hi","eggs"
"r90.x_male_pituitary_inc.prolong","r90.x","male","pituitary","prolong","male.pituitary.prolong","manipulation","male_pituitary","r90.x_male_pituitary_inc.prolong","hi","eggs"
"r95.blu99_female_gonad_n9","r95.blu99","female","gonads","n9","female.gonads.n9","charcterization","female_gonads","r95.blu99_female_gonad_n9","hi","chicks"
"r95.blu99_female_hypothalamus_n9","r95.blu99","female","hypothalamus","n9","female.hypothalamus.n9","charcterization","female_hypothalamus","r95.blu99_female_hypothalamus_n9","hi","chicks"
"r95.blu99_female_pituitary_n9","r95.blu99","female","pituitary","n9","female.pituitary.n9","charcterization","female_pituitary","r95.blu99_female_pituitary_n9","hi","chicks"
"s.o.pk_female_gonad_lay","s.o.pk","female","gonads","lay","female.gonads.lay","charcterization","female_gonads","s.o.pk_female_gonad_lay","lo","eggs"
"s.o.pk_female_hypothalamus_lay","s.o.pk","female","hypothalamus","lay","female.hypothalamus.lay","charcterization","female_hypothalamus","s.o.pk_female_hypothalamus_lay","lo","eggs"
"s.o.pk_female_pituitary_lay","s.o.pk","female","pituitary","lay","female.pituitary.lay","charcterization","female_pituitary","s.o.pk_female_pituitary_lay","lo","eggs"
"s.pu.pk_female_gonad_prolong","s.pu.pk","female","gonads","prolong","female.gonads.prolong","manipulation","female_gonads","s.pu.pk_female_gonad_prolong","hi","eggs"
"s.pu.pk_female_hypothalamus_prolong","s.pu.pk","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation","female_hypothalamus","s.pu.pk_female_hypothalamus_prolong","hi","eggs"
"s.pu.pk_female_pituitary_prolong","s.pu.pk","female","pituitary","prolong","female.pituitary.prolong","manipulation","female_pituitary","s.pu.pk_female_pituitary_prolong","hi","eggs"
"s.pu148.blk.r_male_gonad_bldg","s.pu148.blk.r","male","gonads","bldg","male.gonads.bldg","charcterization","male_gonads","s.pu148.blk.r_male_gonad_bldg","lo","nest"
"s.pu148.blk.r_male_hypothalamus_bldg","s.pu148.blk.r","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization","male_hypothalamus","s.pu148.blk.r_male_hypothalamus_bldg","lo","nest"
"s.pu148.blk.r_male_pituitary_bldg","s.pu148.blk.r","male","pituitary","bldg","male.pituitary.bldg","charcterization","male_pituitary","s.pu148.blk.r_male_pituitary_bldg","lo","nest"
"s.x.ATLAS_female_gonad_control","s.x.ATLAS","female","gonads","control","female.gonads.control","charcterization","female_gonads","s.x.ATLAS_female_gonad_control","hi","control"
"s.x.ATLAS_female_hypothalamus_control","s.x.ATLAS","female","hypothalamus","control","female.hypothalamus.control","charcterization","female_hypothalamus","s.x.ATLAS_female_hypothalamus_control","hi","control"
"s.x.ATLAS_female_pituitary_control","s.x.ATLAS","female","pituitary","control","female.pituitary.control","charcterization","female_pituitary","s.x.ATLAS_female_pituitary_control","hi","control"
"s002.x_female_gonad_m.inc.d8","s002.x","female","gonads","early","female.gonads.early","charcterization","female_gonads","s002.x_female_gonad_m.inc.d8","lo","chicks"
"s002.x_female_hypothalamus_m.inc.d8","s002.x","female","hypothalamus","early","female.hypothalamus.early","charcterization","female_hypothalamus","s002.x_female_hypothalamus_m.inc.d8","lo","chicks"
"s002.x_female_pituitary_m.inc.d8","s002.x","female","pituitary","early","female.pituitary.early","charcterization","female_pituitary","s002.x_female_pituitary_m.inc.d8","lo","chicks"
"s038.g.d.blk_female_gonad_m.inc.d17","s038.g.d.blk","female","gonads","m.inc.d17","female.gonads.m.inc.d17","manipulation","female_gonads","s038.g.d.blk_female_gonad_m.inc.d17","hi","nest"
"s038.g.d.blk_female_hypothalamus_m.inc.d17","s038.g.d.blk","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation","female_hypothalamus","s038.g.d.blk_female_hypothalamus_m.inc.d17","hi","nest"
"s038.g.d.blk_female_pituitary_m.inc.d17","s038.g.d.blk","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation","female_pituitary","s038.g.d.blk_female_pituitary_m.inc.d17","hi","nest"
"s044.blk.d.r_male_gonad_m.inc.d8","s044.blk.d.r","male","gonads","early","male.gonads.early","charcterization","male_gonads","s044.blk.d.r_male_gonad_m.inc.d8","lo","chicks"
"s044.blk.d.r_male_hypothalamus_m.inc.d8","s044.blk.d.r","male","hypothalamus","early","male.hypothalamus.early","charcterization","male_hypothalamus","s044.blk.d.r_male_hypothalamus_m.inc.d8","lo","chicks"
"s044.blk.d.r_male_pituitary_m.inc.d8","s044.blk.d.r","male","pituitary","early","male.pituitary.early","charcterization","male_pituitary","s044.blk.d.r_male_pituitary_m.inc.d8","lo","chicks"
"s062.d.blk.g_male_gonad_m.hatch","s062.d.blk.g","male","gonads","m.n2","male.gonads.m.n2","manipulation","male_gonads","s062.d.blk.g_male_gonad_m.hatch","hi","nest"
"s062.d.blk.g_male_hypothalamus_m.hatch","s062.d.blk.g","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation","male_hypothalamus","s062.d.blk.g_male_hypothalamus_m.hatch","hi","nest"
"s062.d.blk.g_male_pituitary_m.hatch","s062.d.blk.g","male","pituitary","m.n2","male.pituitary.m.n2","manipulation","male_pituitary","s062.d.blk.g_male_pituitary_m.hatch","hi","nest"
"s063.d.blk.l_female_gonad_bldg","s063.d.blk.l","female","gonads","bldg","female.gonads.bldg","charcterization","female_gonads","s063.d.blk.l_female_gonad_bldg","lo","nest"
"s063.d.blk.l_female_hypothalamus_bldg","s063.d.blk.l","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization","female_hypothalamus","s063.d.blk.l_female_hypothalamus_bldg","lo","nest"
"s063.d.blk.l_female_pituitary_bldg","s063.d.blk.l","female","pituitary","bldg","female.pituitary.bldg","charcterization","female_pituitary","s063.d.blk.l_female_pituitary_bldg","lo","nest"
"s064.g.blk.pu_male_gonad_m.inc.d17","s064.g.blk.pu","male","gonads","m.inc.d17","male.gonads.m.inc.d17","manipulation","male_gonads","s064.g.blk.pu_male_gonad_m.inc.d17","hi","nest"
"s064.g.blk.pu_male_hypothalamus_m.inc.d17","s064.g.blk.pu","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation","male_hypothalamus","s064.g.blk.pu_male_hypothalamus_m.inc.d17","hi","nest"
"s064.g.blk.pu_male_pituitary_m.inc.d17","s064.g.blk.pu","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation","male_pituitary","s064.g.blk.pu_male_pituitary_m.inc.d17","hi","nest"
"s065.l.d.o_male_gonad_bldg","s065.l.d.o","male","gonads","bldg","male.gonads.bldg","charcterization","male_gonads","s065.l.d.o_male_gonad_bldg","lo","nest"
"s065.l.d.o_male_hypothalamus_bldg","s065.l.d.o","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization","male_hypothalamus","s065.l.d.o_male_hypothalamus_bldg","lo","nest"
"s065.l.d.o_male_pituitary_bldg","s065.l.d.o","male","pituitary","bldg","male.pituitary.bldg","charcterization","male_pituitary","s065.l.d.o_male_pituitary_bldg","lo","nest"
"s066.l.d.r_male_gonad_bldg","s066.l.d.r","male","gonads","bldg","male.gonads.bldg","charcterization","male_gonads","s066.l.d.r_male_gonad_bldg","lo","nest"
"s066.l.d.r_male_hypothalamus_bldg","s066.l.d.r","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization","male_hypothalamus","s066.l.d.r_male_hypothalamus_bldg","lo","nest"
"s066.l.d.r_male_pituitary_bldg","s066.l.d.r","male","pituitary","bldg","male.pituitary.bldg","charcterization","male_pituitary","s066.l.d.r_male_pituitary_bldg","lo","nest"
"s067.o.l.y_male_gonad_m.inc.d8","s067.o.l.y","male","gonads","early","male.gonads.early","charcterization","male_gonads","s067.o.l.y_male_gonad_m.inc.d8","lo","chicks"
"s067.o.l.y_male_hypothalamus_m.inc.d8","s067.o.l.y","male","hypothalamus","early","male.hypothalamus.early","charcterization","male_hypothalamus","s067.o.l.y_male_hypothalamus_m.inc.d8","lo","chicks"
"s067.o.l.y_male_pituitary_m.inc.d8","s067.o.l.y","male","pituitary","early","male.pituitary.early","charcterization","male_pituitary","s067.o.l.y_male_pituitary_m.inc.d8","lo","chicks"
"s069.pk.pu.g_female_gonad_m.inc.d3","s069.pk.pu.g","female","gonads","m.inc.d3","female.gonads.m.inc.d3","manipulation","female_gonads","s069.pk.pu.g_female_gonad_m.inc.d3","lo","nest"
"s069.pk.pu.g_female_hypothalamus_m.inc.d3","s069.pk.pu.g","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation","female_hypothalamus","s069.pk.pu.g_female_hypothalamus_m.inc.d3","lo","nest"
"s069.pk.pu.g_female_pituitary_m.inc.d3","s069.pk.pu.g","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation","female_pituitary","s069.pk.pu.g_female_pituitary_m.inc.d3","lo","nest"
"s071.pu.g.pk_male_gonad_m.inc.d3","s071.pu.g.pk","male","gonads","m.inc.d3","male.gonads.m.inc.d3","manipulation","male_gonads","s071.pu.g.pk_male_gonad_m.inc.d3","lo","nest"
"s071.pu.g.pk_male_hypothalamus_m.inc.d3","s071.pu.g.pk","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation","male_hypothalamus","s071.pu.g.pk_male_hypothalamus_m.inc.d3","lo","nest"
"s071.pu.g.pk_male_pituitary_m.inc.d3","s071.pu.g.pk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation","male_pituitary","s071.pu.g.pk_male_pituitary_m.inc.d3","lo","nest"
"s089.blk.pk.pu_female_gonad_extend","s089.blk.pk.pu","female","gonads","extend","female.gonads.extend","manipulation","female_gonads","s089.blk.pk.pu_female_gonad_extend","hi","chicks"
"s089.blk.pk.pu_female_hypothalamus_extend","s089.blk.pk.pu","female","hypothalamus","extend","female.hypothalamus.extend","manipulation","female_hypothalamus","s089.blk.pk.pu_female_hypothalamus_extend","hi","chicks"
"s089.blk.pk.pu_female_pituitary_extend","s089.blk.pk.pu","female","pituitary","extend","female.pituitary.extend","manipulation","female_pituitary","s089.blk.pk.pu_female_pituitary_extend","hi","chicks"
"s090.blk.pk.w_male_gonad_m.hatch","s090.blk.pk.w","male","gonads","m.n2","male.gonads.m.n2","manipulation","male_gonads","s090.blk.pk.w_male_gonad_m.hatch","hi","nest"
"s090.blk.pk.w_male_hypothalamus_m.hatch","s090.blk.pk.w","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation","male_hypothalamus","s090.blk.pk.w_male_hypothalamus_m.hatch","hi","nest"
"s090.blk.pk.w_male_pituitary_m.hatch","s090.blk.pk.w","male","pituitary","m.n2","male.pituitary.m.n2","manipulation","male_pituitary","s090.blk.pk.w_male_pituitary_m.hatch","hi","nest"
"s091.blk.r.g_female_gonad_m.inc.d8","s091.blk.r.g","female","gonads","early","female.gonads.early","charcterization","female_gonads","s091.blk.r.g_female_gonad_m.inc.d8","lo","chicks"
"s091.blk.r.g_female_hypothalamus_m.inc.d8","s091.blk.r.g","female","hypothalamus","early","female.hypothalamus.early","charcterization","female_hypothalamus","s091.blk.r.g_female_hypothalamus_m.inc.d8","lo","chicks"
"s091.blk.r.g_female_pituitary_m.inc.d8","s091.blk.r.g","female","pituitary","early","female.pituitary.early","charcterization","female_pituitary","s091.blk.r.g_female_pituitary_m.inc.d8","lo","chicks"
"s092.blk.r.o_female_gonad_bldg","s092.blk.r.o","female","gonads","bldg","female.gonads.bldg","charcterization","female_gonads","s092.blk.r.o_female_gonad_bldg","lo","nest"
"s092.blk.r.o_female_hypothalamus_bldg","s092.blk.r.o","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization","female_hypothalamus","s092.blk.r.o_female_hypothalamus_bldg","lo","nest"
"s092.blk.r.o_female_pituitary_bldg","s092.blk.r.o","female","pituitary","bldg","female.pituitary.bldg","charcterization","female_pituitary","s092.blk.r.o_female_pituitary_bldg","lo","nest"
"s093.blk.y.d_female_gonad_m.inc.d3","s093.blk.y.d","female","gonads","m.inc.d3","female.gonads.m.inc.d3","manipulation","female_gonads","s093.blk.y.d_female_gonad_m.inc.d3","lo","nest"
"s093.blk.y.d_female_hypothalamus_m.inc.d3","s093.blk.y.d","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation","female_hypothalamus","s093.blk.y.d_female_hypothalamus_m.inc.d3","lo","nest"
"s093.blk.y.d_female_pituitary_m.inc.d3","s093.blk.y.d","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation","female_pituitary","s093.blk.y.d_female_pituitary_m.inc.d3","lo","nest"
"s095.g.blk.o_female_gonad_lay","s095.g.blk.o","female","gonads","lay","female.gonads.lay","charcterization","female_gonads","s095.g.blk.o_female_gonad_lay","lo","eggs"
"s095.g.blk.o_female_hypothalamus_lay","s095.g.blk.o","female","hypothalamus","lay","female.hypothalamus.lay","charcterization","female_hypothalamus","s095.g.blk.o_female_hypothalamus_lay","lo","eggs"
"s095.g.blk.o_female_pituitary_lay","s095.g.blk.o","female","pituitary","lay","female.pituitary.lay","charcterization","female_pituitary","s095.g.blk.o_female_pituitary_lay","lo","eggs"
"s096.g.blk.pk_male_gonad_m.inc.d17","s096.g.blk.pk","male","gonads","m.inc.d17","male.gonads.m.inc.d17","manipulation","male_gonads","s096.g.blk.pk_male_gonad_m.inc.d17","hi","nest"
"s096.g.blk.pk_male_hypothalamus_m.inc.d17","s096.g.blk.pk","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation","male_hypothalamus","s096.g.blk.pk_male_hypothalamus_m.inc.d17","hi","nest"
"s096.g.blk.pk_male_pituitary_m.inc.d17","s096.g.blk.pk","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation","male_pituitary","s096.g.blk.pk_male_pituitary_m.inc.d17","hi","nest"
"s100.l.pk.blk_female_gonad_m.inc.d17","s100.l.pk.blk","female","gonads","m.inc.d17","female.gonads.m.inc.d17","manipulation","female_gonads","s100.l.pk.blk_female_gonad_m.inc.d17","hi","nest"
"s100.l.pk.blk_female_hypothalamus_m.inc.d17","s100.l.pk.blk","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation","female_hypothalamus","s100.l.pk.blk_female_hypothalamus_m.inc.d17","hi","nest"
"s100.l.pk.blk_female_pituitary_m.inc.d17","s100.l.pk.blk","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation","female_pituitary","s100.l.pk.blk_female_pituitary_m.inc.d17","hi","nest"
"s103.y.pk.blk_female_gonad_m.inc.d3","s103.y.pk.blk","female","gonads","m.inc.d3","female.gonads.m.inc.d3","manipulation","female_gonads","s103.y.pk.blk_female_gonad_m.inc.d3","lo","nest"
"s103.y.pk.blk_female_hypothalamus_m.inc.d3","s103.y.pk.blk","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation","female_hypothalamus","s103.y.pk.blk_female_hypothalamus_m.inc.d3","lo","nest"
"s103.y.pk.blk_female_pituitary_m.inc.d3","s103.y.pk.blk","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation","female_pituitary","s103.y.pk.blk_female_pituitary_m.inc.d3","lo","nest"
"s136.d.w.o_female_gonad_lay","s136.d.w.o","female","gonads","lay","female.gonads.lay","charcterization","female_gonads","s136.d.w.o_female_gonad_lay","lo","eggs"
"s136.d.w.o_female_hypothalamus_lay","s136.d.w.o","female","hypothalamus","lay","female.hypothalamus.lay","charcterization","female_hypothalamus","s136.d.w.o_female_hypothalamus_lay","lo","eggs"
"s136.d.w.o_female_pituitary_lay","s136.d.w.o","female","pituitary","lay","female.pituitary.lay","charcterization","female_pituitary","s136.d.w.o_female_pituitary_lay","lo","eggs"
"s137.g.blk.y_female_gonad_extend","s137.g.blk.y","female","gonads","extend","female.gonads.extend","manipulation","female_gonads","s137.g.blk.y_female_gonad_extend","hi","chicks"
"s137.g.blk.y_female_hypothalamus_extend","s137.g.blk.y","female","hypothalamus","extend","female.hypothalamus.extend","manipulation","female_hypothalamus","s137.g.blk.y_female_hypothalamus_extend","hi","chicks"
"s137.g.blk.y_female_pituitary_extend","s137.g.blk.y","female","pituitary","extend","female.pituitary.extend","manipulation","female_pituitary","s137.g.blk.y_female_pituitary_extend","hi","chicks"
"s139.l.blk.w_male_gonad_m.inc.d3","s139.l.blk.w","male","gonads","m.inc.d3","male.gonads.m.inc.d3","manipulation","male_gonads","s139.l.blk.w_male_gonad_m.inc.d3","lo","nest"
"s139.l.blk.w_male_hypothalamus_m.inc.d3","s139.l.blk.w","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation","male_hypothalamus","s139.l.blk.w_male_hypothalamus_m.inc.d3","lo","nest"
"s139.l.blk.w_male_pituitary_m.inc.d3","s139.l.blk.w","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation","male_pituitary","s139.l.blk.w_male_pituitary_m.inc.d3","lo","nest"
"s142.o.pk.pu_female_gonad_lay","s142.o.pk.pu","female","gonads","lay","female.gonads.lay","charcterization","female_gonads","s142.o.pk.pu_female_gonad_lay","lo","eggs"
"s142.o.pk.pu_female_hypothalamus_lay","s142.o.pk.pu","female","hypothalamus","lay","female.hypothalamus.lay","charcterization","female_hypothalamus","s142.o.pk.pu_female_hypothalamus_lay","lo","eggs"
"s142.o.pk.pu_female_pituitary_lay","s142.o.pk.pu","female","pituitary","lay","female.pituitary.lay","charcterization","female_pituitary","s142.o.pk.pu_female_pituitary_lay","lo","eggs"
"s150.w.g.blk_male_gonad_lay","s150.w.g.blk","male","gonads","lay","male.gonads.lay","charcterization","male_gonads","s150.w.g.blk_male_gonad_lay","lo","eggs"
"s150.w.g.blk_male_hypothalamus_lay","s150.w.g.blk","male","hypothalamus","lay","male.hypothalamus.lay","charcterization","male_hypothalamus","s150.w.g.blk_male_hypothalamus_lay","lo","eggs"
"s150.w.g.blk_male_pituitary_lay","s150.w.g.blk","male","pituitary","lay","male.pituitary.lay","charcterization","male_pituitary","s150.w.g.blk_male_pituitary_lay","lo","eggs"
"s175.blk.pu.pk_male_gonad_m.inc.d3","s175.blk.pu.pk","male","gonads","m.inc.d3","male.gonads.m.inc.d3","manipulation","male_gonads","s175.blk.pu.pk_male_gonad_m.inc.d3","lo","nest"
"s175.blk.pu.pk_male_hypothalamus_m.inc.d3","s175.blk.pu.pk","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation","male_hypothalamus","s175.blk.pu.pk_male_hypothalamus_m.inc.d3","lo","nest"
"s175.blk.pu.pk_male_pituitary_m.inc.d3","s175.blk.pu.pk","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation","male_pituitary","s175.blk.pu.pk_male_pituitary_m.inc.d3","lo","nest"
"s176.blk.pu.r_female_gonad_lay","s176.blk.pu.r","female","gonads","lay","female.gonads.lay","charcterization","female_gonads","s176.blk.pu.r_female_gonad_lay","lo","eggs"
"s176.blk.pu.r_female_hypothalamus_lay","s176.blk.pu.r","female","hypothalamus","lay","female.hypothalamus.lay","charcterization","female_hypothalamus","s176.blk.pu.r_female_hypothalamus_lay","lo","eggs"
"s176.blk.pu.r_female_pituitary_lay","s176.blk.pu.r","female","pituitary","lay","female.pituitary.lay","charcterization","female_pituitary","s176.blk.pu.r_female_pituitary_lay","lo","eggs"
"s186.l.o.pk_female_gonad_extend","s186.l.o.pk","female","gonads","extend","female.gonads.extend","manipulation","female_gonads","s186.l.o.pk_female_gonad_extend","hi","chicks"
"s186.l.o.pk_female_hypothalamus_extend","s186.l.o.pk","female","hypothalamus","extend","female.hypothalamus.extend","manipulation","female_hypothalamus","s186.l.o.pk_female_hypothalamus_extend","hi","chicks"
"s186.l.o.pk_female_pituitary_extend","s186.l.o.pk","female","pituitary","extend","female.pituitary.extend","manipulation","female_pituitary","s186.l.o.pk_female_pituitary_extend","hi","chicks"
"s187.l.o.r_male_gonad_n9","s187.l.o.r","male","gonads","n9","male.gonads.n9","charcterization","male_gonads","s187.l.o.r_male_gonad_n9","hi","chicks"
"s187.l.o.r_male_hypothalamus_n9","s187.l.o.r","male","hypothalamus","n9","male.hypothalamus.n9","charcterization","male_hypothalamus","s187.l.o.r_male_hypothalamus_n9","hi","chicks"
"s187.l.o.r_male_pituitary_n9","s187.l.o.r","male","pituitary","n9","male.pituitary.n9","charcterization","male_pituitary","s187.l.o.r_male_pituitary_n9","hi","chicks"
"s243.blk.pk.r_male_gonad_lay","s243.blk.pk.r","male","gonads","lay","male.gonads.lay","charcterization","male_gonads","s243.blk.pk.r_male_gonad_lay","lo","eggs"
"s243.blk.pk.r_male_hypothalamus_lay","s243.blk.pk.r","male","hypothalamus","lay","male.hypothalamus.lay","charcterization","male_hypothalamus","s243.blk.pk.r_male_hypothalamus_lay","lo","eggs"
"s243.blk.pk.r_male_pituitary_lay","s243.blk.pk.r","male","pituitary","lay","male.pituitary.lay","charcterization","male_pituitary","s243.blk.pk.r_male_pituitary_lay","lo","eggs"
"s333.y.blk.pk_female_gonad_m.hatch","s333.y.blk.pk","female","gonads","m.n2","female.gonads.m.n2","manipulation","female_gonads","s333.y.blk.pk_female_gonad_m.hatch","hi","nest"
"s333.y.blk.pk_female_hypothalamus_m.hatch","s333.y.blk.pk","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation","female_hypothalamus","s333.y.blk.pk_female_hypothalamus_m.hatch","hi","nest"
"s333.y.blk.pk_female_pituitary_m.hatch","s333.y.blk.pk","female","pituitary","m.n2","female.pituitary.m.n2","manipulation","female_pituitary","s333.y.blk.pk_female_pituitary_m.hatch","hi","nest"
"w191.r1_female_gonad_control","w191.r1","female","gonads","control","female.gonads.control","charcterization","female_gonads","w191.r1_female_gonad_control","lo","control"
"w191.r1_female_hypothalamus_control","w191.r1","female","hypothalamus","control","female.hypothalamus.control","charcterization","female_hypothalamus","w191.r1_female_hypothalamus_control","lo","control"
"w191.r1_female_pituitary_control","w191.r1","female","pituitary","control","female.pituitary.control","charcterization","female_pituitary","w191.r1_female_pituitary_control","lo","control"
"w34.x_male_gonad_inc.d9","w34.x","male","gonads","inc.d9","male.gonads.inc.d9","charcterization","male_gonads","w34.x_male_gonad_inc.d9","lo","eggs"
