"","gene","name"
"17961","PDE2A-AS1","PDE2A antisense RNA 1"
"17962","PDE2A-AS2","PDE2A antisense RNA 2"
"17963","PDE4A","phosphodiesterase 4A"
"17964","PDE4B","phosphodiesterase 4B"
"17965","PDE4B-AS1","PDE4B antisense RNA 1"
"17966","PDE4C","phosphodiesterase 4C"
"17967","PDE4DIPP1","phosphodiesterase 4D interacting protein pseudogene 1"
"17968","PDE6A","phosphodiesterase 6A"
"17969","PDE6B-AS1","PDE6B antisense RNA 1"
"17970","PDE9A-AS1","PDE9A antisense RNA 1"
"17971","PDE11A-AS1","PDE11A antisense RNA 1"
"17972","PDF","peptide deformylase, mitochondrial"
"17973","PDGFRL2P","platelet derived growth factor receptor like 2, pseudogene"
"17974","PDHA1P1","PDHA1 pseudogene 1"
"17975","PDHA2","pyruvate dehydrogenase E1 subunit alpha 2"
"17976","PDIA2","protein disulfide isomerase family A member 2"
"17977","PDIA3P1","protein disulfide isomerase family A member 3 pseudogene 1"
"17978","PDIA3P2","protein disulfide isomerase family A member 3 pseudogene 2"
"17979","PDILT","protein disulfide isomerase like, testis expressed"
"17980","PDK1P1","pyruvate dehydrogenase kinase 1 pseudogene 1"
"17981","PDK2","pyruvate dehydrogenase kinase 2"
"17982","PDLIM1P1","PDZ and LIM domain 1 pseudogene 1"
"17983","PDLIM1P2","PDZ and LIM domain 1 pseudogene 2"
"17984","PDLIM1P3","PDZ and LIM domain 1 pseudogene 3"
"17985","PDLIM1P4","PDZ and LIM domain 1 pseudogene 4"
"17986","PDLIM2","PDZ and LIM domain 2"
"17987","PDPK2P","3-phosphoinositide dependent protein kinase 2, pseudogene"
"17988","PDR","pigment disorder, reticulate"
"17989","PDSS1P1","decaprenyl diphosphate synthase subunit 1 pseudogene 1"
"17990","PDSS1P2","decaprenyl diphosphate synthase subunit 1 pseudogene 2"
"17991","PDX1","pancreatic and duodenal homeobox 1"
"17992","PDXDC2P","pyridoxal dependent decarboxylase domain containing 2, pseudogene"
"17993","PDYN-AS1","PDYN antisense RNA 1"
"17994","PDZD3","PDZ domain containing 3"
"17995","PDZD4","PDZ domain containing 4"
"17996","PDZD9","PDZ domain containing 9"
"17997","PDZK1IP1","PDZK1 interacting protein 1"
"17998","PDZK1P1","PDZ domain containing 1 pseudogene 1"
"17999","PDZPH1P","PDZ and pleckstrin homology domains 1, pseudogene"
"18000","PDZRN3-AS1","PDZRN3 antisense RNA 1"
"18001","PEA15","proliferation and apoptosis adaptor protein 15"
"18002","PEAK3","PEAK family member 3"
"18003","PEBP1P1","phosphatidylethanolamine binding protein 1 pseudogene 1"
"18004","PEBP1P2","phosphatidylethanolamine binding protein 1 pseudogene 2"
"18005","PEBP1P3","phosphatidylethanolamine binding protein 1 pseudogene 3"
"18006","PEBP4","phosphatidylethanolamine binding protein 4"
"18007","PEE1","preeclampsia/eclampsia 1"
"18008","PEF1-AS1","PEF1 and COL16A1 antisense RNA 1"
"18009","PEG3","paternally expressed 3"
"18010","PEG3-AS1","PEG3 antisense RNA 1"
"18011","PEG10","paternally expressed 10"
"18012","PEG13","paternally expressed 13"
"18013","PELATON","plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation"
"18014","PELI3","pellino E3 ubiquitin protein ligase family member 3"
"18015","PELP1","proline, glutamate and leucine rich protein 1"
"18016","PEPB","peptidase B"
"18017","PEPC","peptidase C"
"18018","PEPE","peptidase E"
"18019","PER1","period circadian regulator 1"
"18020","PER3P1","PER3 pseudogene 1"
"18021","PERCC1","proline and glutamate rich with coiled coil 1"
"18022","PERM1","PPARGC1 and ESRR induced regulator, muscle 1"
"18023","PERP","p53 apoptosis effector related to PMP22"
"18024","PES1P1","pescadillo ribosomal biogenesis factor 1 pseudogene 1"
"18025","PES1P2","pescadillo ribosomal biogenesis factor 1 pseudogene 2"
"18026","PET100","PET100 cytochrome c oxidase chaperone"
"18027","PET117","PET117 cytochrome c oxidase chaperone"
"18028","PEX5L-AS1","PEX5L antisense RNA 1"
"18029","PEX5L-AS2","PEX5L antisense RNA 2"
"18030","PEX11B","peroxisomal biogenesis factor 11 beta"
"18031","PEX12P1","peroxisomal biogenesis factor 12 pseudogene 1"
"18032","PEX19","peroxisomal biogenesis factor 19"
"18033","PF4","platelet factor 4"
"18034","PF4V1","platelet factor 4 variant 1"
"18035","PFAS","phosphoribosylformylglycinamidine synthase"
"18036","PFDN6","prefoldin subunit 6"
"18037","PFKFB1","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"
"18038","PFKL","phosphofructokinase, liver type"
"18039","PFM3","parietal foramina 3"
"18040","PFN1","profilin 1"
"18041","PFN1P1","profilin 1 pseudogene 1"
"18042","PFN1P2","profilin 1 pseudogene 2"
"18043","PFN1P3","profilin 1 pseudogene 3"
"18044","PFN1P4","profilin 1 pseudogene 4"
"18045","PFN1P6","profilin 1 pseudogene 6"
"18046","PFN1P8","profilin 1 pseudogene 8"
"18047","PFN1P9","profilin 1 pseudogene 9"
"18048","PFN1P10","profilin 1 pseudogene 10"
"18049","PFN1P11","profilin 1 pseudogene 11"
"18050","PFN1P12","profilin 1 pseudogene 12"
"18051","PFN5P","profilin 5, pseudogene"
"18052","PGA@","pepsinogen A gene cluster"
"18053","PGA3","pepsinogen A3"
"18054","PGA4","pepsinogen A4"
"18055","PGA5","pepsinogen A5"
"18056","PGAM1P1","phosphoglycerate mutase 1 pseudogene 1"
"18057","PGAM1P2","phosphoglycerate mutase 1 pseudogene 2"
"18058","PGAM1P3","phosphoglycerate mutase 1 pseudogene 3"
"18059","PGAM1P4","phosphoglycerate mutase 1 pseudogene 4"
"18060","PGAM1P5","phosphoglycerate mutase 1 pseudogene 5"
"18061","PGAM1P6","phosphoglycerate mutase 1 pseudogene 6"
"18062","PGAM1P7","phosphoglycerate mutase 1 pseudogene 7"
"18063","PGAM1P8","phosphoglycerate mutase 1 pseudogene 8"
"18064","PGAM1P9","phosphoglycerate mutase 1 pseudogene 9"
"18065","PGAM1P10","phosphoglycerate mutase 1 pseudogene 10"
"18066","PGAM1P11","phosphoglycerate mutase 1 pseudogene 11"
"18067","PGAM1P12","phosphoglycerate mutase 1 pseudogene 12"
"18068","PGAM1P13","phosphoglycerate mutase 1 pseudogene 13"
"18069","PGAM2","phosphoglycerate mutase 2"
"18070","PGAM3P","phosphoglycerate mutase 3, pseudogene"
"18071","PGAM4","phosphoglycerate mutase family member 4"
"18072","PGAM4P1","phosphoglycerate mutase family member 4 pseudogene 1"
"18073","PGAM4P2","phosphoglycerate mutase family member 4 pseudogene 2"
"18074","PGAM5P1","PGAM family member 5, mitochondrial serine/threonine protein phosphatase pseudogene 1"
"18075","PGAP4","post-GPI attachment to proteins GalNAc transferase 4"
"18076","PGAP6","post-glycosylphosphatidylinositol attachment to proteins 6"
"18077","PGBD1","piggyBac transposable element derived 1"
"18078","PGBD2","piggyBac transposable element derived 2"
"18079","PGBD3","piggyBac transposable element derived 3"
"18080","PGBD3P1","piggyBac transposable element derived 3 pseudogene 1"
"18081","PGBD3P2","piggyBac transposable element derived 3 pseudogene 2"
"18082","PGBD3P3","piggyBac transposable element derived 3 pseudogene 3"
"18083","PGBD3P4","piggyBac transposable element derived 3 pseudogene 4"
"18084","PGBD4","piggyBac transposable element derived 4"
"18085","PGBD4P1","piggyBac transposable element derived 4 pseudogene 1"
"18086","PGBD4P2","piggyBac transposable element derived 4 pseudogene 2"
"18087","PGBD4P3","piggyBac transposable element derived 4 pseudogene 3"
"18088","PGBD4P4","piggyBac transposable element derived 4 pseudogene 4"
"18089","PGBD4P5","piggyBac transposable element derived 4 pseudogene 5"
"18090","PGBD4P6","piggyBac transposable element derived 4 pseudogene 6"
"18091","PGBD4P7","piggyBac transposable element derived 4 pseudogene 7"
"18092","PGBD4P8","piggyBac transposable element derived 4 pseudogene 8"
"18093","PGBP","pepsinogen B, pseudogene"
"18094","PGC","progastricsin"
"18095","PGDP1","phosphogluconate dehydrogenase pseudogene 1"
"18096","PGDP2","phosphogluconate dehydrogenase pseudogene 2"
"18097","PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase"
"18098","PGGT1B","protein geranylgeranyltransferase type I subunit beta"
"18099","PGGT1BP1","protein geranylgeranyltransferase type I subunit beta pseudogene 1"
"18100","PGGT1BP2","protein geranylgeranyltransferase type I subunit beta pseudogene 2"
"18101","PGK1P1","phosphoglycerate kinase 1 pseudogene 1"
"18102","PGK1P2","phosphoglycerate kinase 1, pseudogene 2"
"18103","PGK2","phosphoglycerate kinase 2"
"18104","PGLYRP1","peptidoglycan recognition protein 1"
"18105","PGLYRP2","peptidoglycan recognition protein 2"
"18106","PGLYRP3","peptidoglycan recognition protein 3"
"18107","PGLYRP4","peptidoglycan recognition protein 4"
"18108","PGM5-AS1","PGM5 antisense RNA 1"
"18109","PGM5P1","phosphoglucomutase 5 pseudogene 1"
"18110","PGM5P2","phosphoglucomutase 5 pseudogene 2"
"18111","PGM5P3","phosphoglucomutase 5 pseudogene 3"
"18112","PGM5P3-AS1","PGM5P3 antisense RNA 1"
"18113","PGM5P4","phosphoglucomutase 5 pseudogene 4"
"18114","PGM5P4-AS1","PGM5P4 antisense RNA 1"
"18115","PGPEP1L","pyroglutamyl-peptidase I like"
"18116","PGR-AS1","PGR antisense RNA 1"
"18117","PGS1","phosphatidylglycerophosphate synthase 1"
"18118","PHACTR2-AS1","PHACTR2 antisense RNA 1"
"18119","PHACTR2P1","phosphatase and actin regulator 2 pseudogene 1"
"18120","PHACTR3-AS1","PHACTR3 antisense RNA 1"
"18121","PHB2P1","prohibitin 2 pseudogene 1"
"18122","PHBP1","prohibitin pseudogene 1"
"18123","PHBP2","prohibitin pseudogene 2"
"18124","PHBP3","prohibitin pseudogene 3"
"18125","PHBP4","prohibitin pseudogene 4"
"18126","PHBP5","prohibitin pseudogene 5"
"18127","PHBP6","prohibitin pseudogene 6"
"18128","PHBP7","prohibitin pseudogene 7"
"18129","PHBP8","prohibitin pseudogene 8"
"18130","PHBP9","prohibitin pseudogene 9"
"18131","PHBP10","prohibitin pseudogene 10"
"18132","PHBP11","prohibitin pseudogene 11"
"18133","PHBP12","prohibitin pseudogene 12"
"18134","PHBP13","prohibitin pseudogene 13"
"18135","PHBP14","prohibitin pseudogene 14"
"18136","PHBP15","prohibitin pseudogene 15"
"18137","PHBP16","prohibitin pseudogene 16"
"18138","PHBP17","prohibitin pseudogene 17"
"18139","PHBP18","prohibitin pseudogene 18"
"18140","PHBP19","prohibitin pseudogene 19"
"18141","PHBP20","prohibitin pseudogene 20"
"18142","PHBP21","prohibitin pseudogene 21"
"18143","PHC1P1","polyhomeotic homolog 1 pseudogene 1"
"18144","PHC2-AS1","PHC2 antisense RNA 1"
"18145","PHETA1","PH domain containing endocytic trafficking adaptor 1"
"18146","PHETA2","PH domain containing endocytic trafficking adaptor 2"
"18147","PHEX-AS1","PHEX antisense RNA 1"
"18148","PHF1","PHD finger protein 1"
"18149","PHF2P1","PHD finger protein 2 pseudogene 1"
"18150","PHF2P2","PHD finger protein 2 pseudogene 2"
"18151","PHF5CP","PHD finger protein 5C pseudogene"
"18152","PHF5DP","PHD finger protein 5D pseudogene"
"18153","PHF5EP","PHD finger protein 5E pseudogene"
"18154","PHF5FP","PHD finger protein 5F pseudogene"
"18155","PHF5GP","PHD finger protein 5G pseudogene"
"18156","PHF5HP","PHD finger protein 5H pseudogene"
"18157","PHF7","PHD finger protein 7"
"18158","PHF8","PHD finger protein 8"
"18159","PHF10P1","PHD finger protein 10 pseudogene 1"
"18160","PHF23","PHD finger protein 23"
"18161","PHF24","PHD finger protein 24"
"18162","PHGR1","proline, histidine and glycine rich 1"
"18163","PHKA1","phosphorylase kinase regulatory subunit alpha 1"
"18164","PHKA1-AS1","PHKA1 antisense RNA 1"
"18165","PHKA1P1","phosphorylase kinase regulatory subunit alpha 1 pseudogene"
"18166","PHKA2-AS1","PHKA2 antisense RNA 1"
"18167","PHKB","phosphorylase kinase regulatory subunit beta"
"18168","PHKBP1","phosphorylase kinase regulatory subunit beta pseudogene 1"
"18169","PHKBP2","phosphorylase kinase regulatory subunit beta pseudogene 2"
"18170","PHKG1P1","phosphorylase kinase catalytic subunit gamma 1 pseudogene 1"
"18171","PHKG1P2","phosphorylase kinase catalytic subunit gamma 1 pseudogene 2"
"18172","PHKG1P3","phosphorylase kinase catalytic subunit gamma 1 pseudogene 3"
"18173","PHKG1P4","phosphorylase kinase catalytic subunit gamma 1 pseudogene 4"
"18174","PHKG2","phosphorylase kinase catalytic subunit gamma 2"
"18175","PHLDB3","pleckstrin homology like domain family B member 3"
"18176","PHOX2A","paired like homeobox 2A"
"18177","PHOX2B","paired like homeobox 2B"
"18178","PHOX2B-AS1","PHOX2B antisense RNA 1"
"18179","PHYHD1","phytanoyl-CoA dioxygenase domain containing 1"
"18180","PHYHIP","phytanoyl-CoA 2-hydroxylase interacting protein"
"18181","PHYKPL","5-phosphohydroxy-L-lysine phospho-lyase"
"18182","PI3","peptidase inhibitor 3"
"18183","PI4K2A","phosphatidylinositol 4-kinase type 2 alpha"
"18184","PI4KAP1","phosphatidylinositol 4-kinase alpha pseudogene 1"
"18185","PI4KAP2","phosphatidylinositol 4-kinase alpha pseudogene 2"
"18186","PI4KB","phosphatidylinositol 4-kinase beta"
"18187","PI8L2","peptidase inhibitor 8 (ovalbumin type)-like 2"
"18188","PIAS3","protein inhibitor of activated STAT 3"
"18189","PICART1","p53 inducible cancer associated RNA transcript 1"
"18190","PICSAR","P38 inhibited cutaneous squamous cell carcinoma associated lincRNA"
"18191","PIEZO1","piezo type mechanosensitive ion channel component 1"
"18192","PIEZO1P1","piezo type mechanosensitive ion channel component 1 pseudogene 1"
"18193","PIEZO1P2","piezo type mechanosensitive ion channel component 1 pseudogene 2"
"18194","PIEZO2","piezo type mechanosensitive ion channel component 2"
"18195","PIGAP1","phosphatidylinositol glycan anchor biosynthesis class A pseudogene 1"
"18196","PIGBOS1","PIGB opposite strand 1"
"18197","PIGCP1","phosphatidylinositol glycan anchor biosynthesis class C pseudogene 1"
"18198","PIGCP2","phosphatidylinositol glycan anchor biosynthesis class C pseudogene 2"
"18199","PIGFP1","phosphatidylinositol glycan anchor biosynthesis class F pseudogene 1"
"18200","PIGFP2","phosphatidylinositol glycan anchor biosynthesis class F pseudogene 2"
"18201","PIGFP3","phosphatidylinositol glycan anchor biosynthesis class F pseudogene 3"
"18202","PIGHP1","phosphatidylinositol glycan anchor biosynthesis class H pseudogene 1"
"18203","PIGPP1","phosphatidylinositol glycan anchor biosynthesis class P pseudogene 1"
"18204","PIGPP2","phosphatidylinositol glycan anchor biosynthesis class P pseudogene 2"
"18205","PIGPP3","phosphatidylinositol glycan anchor biosynthesis class P pseudogene 3"
"18206","PIGPP4","phosphatidylinositol glycan anchor biosynthesis class P pseudogene 4"
"18207","PIGQP1","phosphatidylinositol glycan anchor biosynthesis class Q pseudogene 1"
"18208","PIGUP1","phosphatidylinositol glycan anchor biosynthesis class U pseudogene 1"
"18209","PIGV","phosphatidylinositol glycan anchor biosynthesis class V"
"18210","PIGY-DT","PIGY divergent transcript"
"18211","PIH1D1","PIH1 domain containing 1"
"18212","PIK3CB","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
"18213","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
"18214","PIK3CD-AS1","PIK3CD antisense RNA 1"
"18215","PIK3CD-AS2","PIK3CD antisense RNA 2"
"18216","PIK3CDP1","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta pseudogene 1"
"18217","PIK3IP1-DT","PIK3IP1 divergent transcript"
"18218","PIK3R1OS","phosphoinositide-3-kinase, regulatory subunit 1, opposite strand"
"18219","PILRA","paired immunoglobin like type 2 receptor alpha"
"18220","PILRB","paired immunoglobin like type 2 receptor beta"
"18221","PIM2","Pim-2 proto-oncogene, serine/threonine kinase"
"18222","PIMREG","PICALM interacting mitotic regulator"
"18223","PIMREGP1","PIMREG pseudogene 1"
"18224","PIMREGP2","PIMREG pseudogene 2"
"18225","PIMREGP3","PIMREG pseudogene 3"
"18226","PIMREGP4","PIMREG pseudogene 4"
"18227","PIN1L2","protein (peptidylprolyl cis/trans isomerase) NIMA-interacting 1-like 2"
"18228","PIN1P1","peptidylprolyl cis/trans isomerase, NIMA-interacting 1 pseudogene 1"
"18229","PIN3","protein, NIMA-interacting 3"
"18230","PIN4P1","peptidylprolyl cis/trans isomerase, NIMA-interacting 4 pseudogene 1"
"18231","PINCR","p53-induced noncoding RNA"
"18232","PINK1-AS","PINK1 antisense RNA"
"18233","PIP","prolactin induced protein"
"18234","PIP4K2C","phosphatidylinositol-5-phosphate 4-kinase type 2 gamma"
"18235","PIP4P1","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1"
"18236","PIP4P2","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2"
"18237","PIP5K1C","phosphatidylinositol-4-phosphate 5-kinase type 1 gamma"
"18238","PIP5K1P1","phosphatidylinositol-4-phosphate 5-kinase type 1 pseudogene 1"
"18239","PIP5K1P2","phosphatidylinositol-4-phosphate 5-kinase type 1 pseudogene 2"
"18240","PIP5KL1","phosphatidylinositol-4-phosphate 5-kinase like 1"
"18241","PIPSL","PIP5K1A and PSMD4 like (pseudogene)"
"18242","PIR","pirin"
"18243","PIRC1","piwi-interacting RNA cluster 1"
"18244","PIRC2","piwi-interacting RNA cluster 2"
"18245","PIRC3","piwi-interacting RNA cluster 3"
"18246","PIRC4","piwi-interacting RNA cluster 4"
"18247","PIRC5","piwi-interacting RNA cluster 5"
"18248","PIRC6","piwi-interacting RNA cluster 6"
"18249","PIRC7","piwi-interacting RNA cluster 7"
"18250","PIRC8","piwi-interacting RNA cluster 8"
"18251","PIRC9","piwi-interacting RNA cluster 9"
"18252","PIRC10","piwi-interacting RNA cluster 10"
"18253","PIRC11","piwi-interacting RNA cluster 11"
"18254","PIRC12","piwi-interacting RNA cluster 12"
"18255","PIRC13","piwi-interacting RNA cluster 13"
"18256","PIRC14","piwi-interacting RNA cluster 14"
"18257","PIRC15","piwi-interacting RNA cluster 15"
"18258","PIRC16","piwi-interacting RNA cluster 16"
"18259","PIRC17","piwi-interacting RNA cluster 17"
"18260","PIRC18","piwi-interacting RNA cluster 18"
"18261","PIRC19","piwi-interacting RNA cluster 19"
"18262","PIRC20","piwi-interacting RNA cluster 20"
"18263","PIRC21","piwi-interacting RNA cluster 21"
"18264","PIRC22","piwi-interacting RNA cluster 22"
"18265","PIRC23","piwi-interacting RNA cluster 23"
"18266","PIRC24","piwi-interacting RNA cluster 24"
"18267","PIRC25","piwi-interacting RNA cluster 25"
"18268","PIRC26","piwi-interacting RNA cluster 26"
"18269","PIRC27","piwi-interacting RNA cluster 27"
"18270","PIRC28","piwi-interacting RNA cluster 28"
"18271","PIRC29","piwi-interacting RNA cluster 29"
"18272","PIRC30","piwi-interacting RNA cluster 30"
"18273","PIRC31","piwi-interacting RNA cluster 31"
"18274","PIRC32","piwi-interacting RNA cluster 32"
"18275","PIRC33","piwi-interacting RNA cluster 33"
"18276","PIRC34","piwi-interacting RNA cluster 34"
"18277","PIRC35","piwi-interacting RNA cluster 35"
"18278","PIRC36","piwi-interacting RNA cluster 36"
"18279","PIRC37","piwi-interacting RNA cluster 37"
"18280","PIRC38","piwi-interacting RNA cluster 38"
"18281","PIRC39","piwi-interacting RNA cluster 39"
"18282","PIRC40","piwi-interacting RNA cluster 40"
"18283","PIRC41","piwi-interacting RNA cluster 41"
"18284","PIRC42","piwi-interacting RNA cluster 42"
"18285","PIRC43","piwi-interacting RNA cluster 43"
"18286","PIRC44","piwi-interacting RNA cluster 44"
"18287","PIRC45","piwi-interacting RNA cluster 45"
"18288","PIRC46","piwi-interacting RNA cluster 46"
"18289","PIRC47","piwi-interacting RNA cluster 47"
"18290","PIRC48","piwi-interacting RNA cluster 48"
"18291","PIRC49","piwi-interacting RNA cluster 49"
"18292","PIRC50","piwi-interacting RNA cluster 50"
"18293","PIRC51","piwi-interacting RNA cluster 51"
"18294","PIRC52","piwi-interacting RNA cluster 52"
"18295","PIRC53","piwi-interacting RNA cluster 53"
"18296","PIRC54","piwi-interacting RNA cluster 54"
"18297","PIRC55","piwi-interacting RNA cluster 55"
"18298","PIRC56","piwi-interacting RNA cluster 56"
"18299","PIRC57","piwi-interacting RNA cluster 57"
"18300","PIRC58","piwi-interacting RNA cluster 58"
"18301","PIRC59","piwi-interacting RNA cluster 59"
"18302","PIRC60","piwi-interacting RNA cluster 60"
"18303","PIRC61","piwi-interacting RNA cluster 61"
"18304","PIRC62","piwi-interacting RNA cluster 62"
"18305","PIRC63","piwi-interacting RNA cluster 63"
"18306","PIRC64","piwi-interacting RNA cluster 64"
"18307","PIRC65","piwi-interacting RNA cluster 65"
"18308","PIRC66","piwi-interacting RNA cluster 66"
"18309","PIRC67","piwi-interacting RNA cluster 67"
"18310","PIRC68","piwi-interacting RNA cluster 68"
"18311","PIRC69","piwi-interacting RNA cluster 69"
"18312","PIRC70","piwi-interacting RNA cluster 70"
"18313","PIRC71","piwi-interacting RNA cluster 71"
"18314","PIRC72","piwi-interacting RNA cluster 72"
"18315","PIRC73","piwi-interacting RNA cluster 73"
"18316","PIRC74","piwi-interacting RNA cluster 74"
"18317","PIRC75","piwi-interacting RNA cluster 75"
"18318","PIRC76","piwi-interacting RNA cluster 76"
"18319","PIRC77","piwi-interacting RNA cluster 77"
"18320","PIRC78","piwi-interacting RNA cluster 78"
"18321","PIRC79","piwi-interacting RNA cluster 79"
"18322","PIRC80","piwi-interacting RNA cluster 80"
"18323","PIRC81","piwi-interacting RNA cluster 81"
"18324","PIRC82","piwi-interacting RNA cluster 82"
"18325","PIRC83","piwi-interacting RNA cluster 83"
"18326","PIRC84","piwi-interacting RNA cluster 84"
"18327","PIRC85","piwi-interacting RNA cluster 85"
"18328","PIRC86","piwi-interacting RNA cluster 86"
"18329","PIRC87","piwi-interacting RNA cluster 87"
"18330","PIRC88","piwi-interacting RNA cluster 88"
"18331","PIRC89","piwi-interacting RNA cluster 89"
"18332","PIRC90","piwi-interacting RNA cluster 90"
"18333","PIRC91","piwi-interacting RNA cluster 91"
"18334","PIRC92","piwi-interacting RNA cluster 92"
"18335","PIRC93","piwi-interacting RNA cluster 93"
"18336","PIRC94","piwi-interacting RNA cluster 94"
"18337","PIRC95","piwi-interacting RNA cluster 95"
"18338","PIRC96","piwi-interacting RNA cluster 96"
"18339","PIRC97","piwi-interacting RNA cluster 97"
"18340","PIRC98","piwi-interacting RNA cluster 98"
"18341","PIRC99","piwi-interacting RNA cluster 99"
"18342","PIRC100","piwi-interacting RNA cluster 100"
"18343","PIRC101","piwi-interacting RNA cluster 101"
"18344","PIRC102","piwi-interacting RNA cluster 102"
"18345","PIRC103","piwi-interacting RNA cluster 103"
"18346","PIRC104","piwi-interacting RNA cluster 104"
"18347","PIRC105","piwi-interacting RNA cluster 105"
"18348","PIRC106","piwi-interacting RNA cluster 106"
"18349","PIRC107","piwi-interacting RNA cluster 107"
"18350","PIRC108","piwi-interacting RNA cluster 108"
"18351","PIRC109","piwi-interacting RNA cluster 109"
"18352","PIRC110","piwi-interacting RNA cluster 110"
"18353","PIRC111","piwi-interacting RNA cluster 111"
"18354","PIRC112","piwi-interacting RNA cluster 112"
"18355","PIRC113","piwi-interacting RNA cluster 113"
"18356","PIRC114","piwi-interacting RNA cluster 114"
"18357","PIRT","phosphoinositide interacting regulator of transient receptor potential channels"
"18358","PISRT1","PISRT1 lncRNA"
"18359","PITPNA-AS1","PITPNA antisense RNA 1"
"18360","PITPNC1","phosphatidylinositol transfer protein cytoplasmic 1"
"18361","PITPNM1","phosphatidylinositol transfer protein membrane associated 1"
"18362","PITPNM2-AS1","PITPNM2 antisense RNA 1"
"18363","PITRM1-AS1","PITRM1 antisense RNA 1"
"18364","PIWIL2","piwi like RNA-mediated gene silencing 2"
"18365","PIWIL3","piwi like RNA-mediated gene silencing 3"
"18366","PIWIL4","piwi like RNA-mediated gene silencing 4"
"18367","PJA1","praja ring finger ubiquitin ligase 1"
"18368","PJVK","pejvakin"
"18369","PKD1L1","polycystin 1 like 1, transient receptor potential channel interacting"
"18370","PKD1L2","polycystin 1 like 2 (gene/pseudogene)"
"18371","PKD1L3","polycystin 1 like 3, transient receptor potential channel interacting"
"18372","PKD1P1","polycystin 1, transient receptor potential channel interacting pseudogene 1"
"18373","PKD1P2","polycystin 1, transient receptor potential channel interacting pseudogene 2"
"18374","PKD1P3","polycystin 1, transient receptor potential channel interacting pseudogene 3"
"18375","PKD1P4","polycystin 1, transient receptor potential channel interacting pseudogene 4"
"18376","PKD1P5","polycystin 1, transient receptor potential channel interacting pseudogene 5"
"18377","PKD1P6","polycystin 1, transient receptor potential channel interacting pseudogene 6"
"18378","PKD3","polycystic kidney disease 3 (autosomal dominant)"
"18379","PKDCC","protein kinase domain containing, cytoplasmic"
"18380","PKHD1L1","PKHD1 like 1"
"18381","PKIA-AS1","PKIA antisense RNA 1"
"18382","PKLR","pyruvate kinase L/R"
"18383","PKMP1","pyruvate kinase M1/2 pseudogene 1"
"18384","PKMP2","pyruvate kinase M1/2 pseudogene 2"
"18385","PKMP3","pyruvate kinase M1/2 pseudogene 3"
"18386","PKMP4","pyruvate kinase M1/2 pseudogene 4"
"18387","PKMP5","pyruvate kinase M1/2 pseudogene 5"
"18388","PKMYT1","protein kinase, membrane associated tyrosine/threonine 1"
"18389","PKN1","protein kinase N1"
"18390","PKN2-AS1","PKN2 antisense RNA 1"
"18391","PKNOX2-AS1","PKNOX2 antisense RNA 1 (head to head)"
"18392","PKP1","plakophilin 1"
"18393","PKP2P1","plakophilin 2 pseudogene 1"
"18394","PKP4-AS1","PKP4 antisense RNA 1"
"18395","PKP4P1","plakophilin 4 pseudogene 1"
"18396","PLA2G2C","phospholipase A2 group IIC"
"18397","PLA2G2D","phospholipase A2 group IID"
"18398","PLA2G2E","phospholipase A2 group IIE"
"18399","PLA2G2F","phospholipase A2 group IIF"
"18400","PLA2G3","phospholipase A2 group III"
"18401","PLA2G4C","phospholipase A2 group IVC"
"18402","PLA2G4C-AS1","PLA2G4C antisense RNA 1"
"18403","PLA2G4D","phospholipase A2 group IVD"
"18404","PLA2G4E-AS1","PLA2G4E antisense RNA 1"
"18405","PLA2G12A","phospholipase A2 group XIIA"
"18406","PLA2G12AP1","phospholipase A2 group XIIA pseudogene 1"
"18407","PLA2G12AP2","phospholipase A2 group XIIA pseudogene 2"
"18408","PLAAT1","phospholipase A and acyltransferase 1"
"18409","PLAAT2","phospholipase A and acyltransferase 2"
"18410","PLAAT3","phospholipase A and acyltransferase 3"
"18411","PLAAT4","phospholipase A and acyltransferase 4"
"18412","PLAAT5","phospholipase A and acyltransferase 5"
"18413","PLAC1","placenta enriched 1"
"18414","PLAC4","placenta enriched 4"
"18415","PLAC5","placenta-specific 5"
"18416","PLAC8","placenta associated 8"
"18417","PLAC9P1","placenta associated 9 pseudogene 1"
"18418","PLAGL1","PLAG1 like zinc finger 1"
"18419","PLAGL2","PLAG1 like zinc finger 2"
"18420","PLAUR","plasminogen activator, urokinase receptor"
"18421","PLB1","phospholipase B1"
"18422","PLBD1-AS1","PLBD1 antisense RNA 1"
"18423","PLCB1-IT1","PLCB1 intronic transcript 1"
"18424","PLCB2-AS1","PLCB2 antisense RNA 1"
"18425","PLCB3","phospholipase C beta 3"
"18426","PLCE1-AS1","PLCE1 antisense RNA 1"
"18427","PLCE1-AS2","PLCE1 antisense RNA 2"
"18428","PLCE1P1","phospholipase C epsilon 1 pseudogene 1"
"18429","PLCG1-AS1","PLCG1 antisense RNA 1"
"18430","PLCH1-AS1","PLCH1 antisense RNA 1"
