"","V1","bird","sex","tissue","treatment","group","study"
"x.g26_female_gonad_m.inc.d8","x.g26_female_gonad_m.inc.d8","x.g26","female","gonad","m.inc.d8","female.gonad.m.inc.d8","manipulation"
"x.g26_female_hypothalamus_m.inc.d8","x.g26_female_hypothalamus_m.inc.d8","x.g26","female","hypothalamus","m.inc.d8","female.hypothalamus.m.inc.d8","manipulation"
"x.g26_female_pituitary_m.inc.d8","x.g26_female_pituitary_m.inc.d8","x.g26","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation"
"x.g5.w79_male_gonad_m.inc.d3","x.g5.w79_male_gonad_m.inc.d3","x.g5.w79","male","gonad","m.inc.d3","male.gonad.m.inc.d3","manipulation"
"x.g5.w79_male_hypothalamus_m.inc.d3","x.g5.w79_male_hypothalamus_m.inc.d3","x.g5.w79","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation"
"x.g5.w79_male_pituitary_m.inc.d3","x.g5.w79_male_pituitary_m.inc.d3","x.g5.w79","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation"
"x.g50_female_gonad_inc.prolong","x.g50_female_gonad_inc.prolong","x.g50","female","gonad","prolong","female.gonad.prolong","manipulation"
"x.g50_female_hypothalamus_inc.prolong","x.g50_female_hypothalamus_inc.prolong","x.g50","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation"
"x.g50_female_pituitary_inc.prolong","x.g50_female_pituitary_inc.prolong","x.g50","female","pituitary","prolong","female.pituitary.prolong","manipulation"
"x.o117_male_gonad_m.inc.d9","x.o117_male_gonad_m.inc.d9","x.o117","male","gonad","m.inc.d9","male.gonad.m.inc.d9","manipulation"
"x.o117_male_hypothalamus_m.inc.d9","x.o117_male_hypothalamus_m.inc.d9","x.o117","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation"
"x.o117_male_pituitary_m.inc.d9","x.o117_male_pituitary_m.inc.d9","x.o117","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation"
"x.o171.w45_female_gonad_m.hatch","x.o171.w45_female_gonad_m.hatch","x.o171.w45","female","gonad","m.n2","female.gonad.m.n2","manipulation"
"x.o171.w45_female_hypothalamus_m.hatch","x.o171.w45_female_hypothalamus_m.hatch","x.o171.w45","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation"
"x.o171.w45_female_pituitary_m.hatch","x.o171.w45_female_pituitary_m.hatch","x.o171.w45","female","pituitary","m.n2","female.pituitary.m.n2","manipulation"
"x.o40.r70_male_gonad_m.inc.d17","x.o40.r70_male_gonad_m.inc.d17","x.o40.r70","male","gonad","m.inc.d17","male.gonad.m.inc.d17","manipulation"
"x.o40.r70_male_hypothalamus_m.inc.d17","x.o40.r70_male_hypothalamus_m.inc.d17","x.o40.r70","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation"
"x.o40.r70_male_pituitary_m.inc.d17","x.o40.r70_male_pituitary_m.inc.d17","x.o40.r70","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation"
"x.o4_male_gonad_m.hatch","x.o4_male_gonad_m.hatch","x.o4","male","gonad","m.n2","male.gonad.m.n2","manipulation"
"x.o4_male_hypothalamus_m.hatch","x.o4_male_hypothalamus_m.hatch","x.o4","male","hypothalamus","m.n2","male.hypothalamus.m.n2","manipulation"
"x.o4_male_pituitary_m.hatch","x.o4_male_pituitary_m.hatch","x.o4","male","pituitary","m.n2","male.pituitary.m.n2","manipulation"
"x.o61_female_gonad_extend.hatch","x.o61_female_gonad_extend.hatch","x.o61","female","gonad","extend","female.gonad.extend","manipulation"
"x.o61_female_hypothalamus_extend.hatch","x.o61_female_hypothalamus_extend.hatch","x.o61","female","hypothalamus","extend","female.hypothalamus.extend","manipulation"
"x.o61_female_pituitary_extend.hatch","x.o61_female_pituitary_extend.hatch","x.o61","female","pituitary","extend","female.pituitary.extend","manipulation"
"x.r10.w18_male_gonad_m.inc.d17","x.r10.w18_male_gonad_m.inc.d17","x.r10.w18","male","gonad","m.inc.d17","male.gonad.m.inc.d17","manipulation"
"x.r10.w18_male_hypothalamus_m.inc.d17","x.r10.w18_male_hypothalamus_m.inc.d17","x.r10.w18","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation"
"x.r10.w18_male_pituitary_m.inc.d17","x.r10.w18_male_pituitary_m.inc.d17","x.r10.w18","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation"
"x.r180_female_gonad_m.inc.d3","x.r180_female_gonad_m.inc.d3","x.r180","female","gonad","m.inc.d3","female.gonad.m.inc.d3","manipulation"
"x.r180_female_hypothalamus_m.inc.d3","x.r180_female_hypothalamus_m.inc.d3","x.r180","female","hypothalamus","m.inc.d3","female.hypothalamus.m.inc.d3","manipulation"
"x.r180_female_pituitary_m.inc.d3","x.r180_female_pituitary_m.inc.d3","x.r180","female","pituitary","m.inc.d3","female.pituitary.m.inc.d3","manipulation"
"x.r185_male_gonad_m.inc.d3","x.r185_male_gonad_m.inc.d3","x.r185","male","gonad","m.inc.d3","male.gonad.m.inc.d3","manipulation"
"x.r185_male_hypothalamus_m.inc.d3","x.r185_male_hypothalamus_m.inc.d3","x.r185","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation"
"x.r185_male_pituitary_m.inc.d3","x.r185_male_pituitary_m.inc.d3","x.r185","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation"
"x.r74.o29_female_gonad_m.hatch","x.r74.o29_female_gonad_m.hatch","x.r74.o29","female","gonad","m.n2","female.gonad.m.n2","manipulation"
"x.r74.o29_female_hypothalamus_m.hatch","x.r74.o29_female_hypothalamus_m.hatch","x.r74.o29","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation"
"x.r74.o29_female_pituitary_m.hatch","x.r74.o29_female_pituitary_m.hatch","x.r74.o29","female","pituitary","m.n2","female.pituitary.m.n2","manipulation"
"x.r76_female_gonad_m.inc.d9","x.r76_female_gonad_m.inc.d9","x.r76","female","gonad","m.inc.d9","female.gonad.m.inc.d9","manipulation"
"x.r76_female_hypothalamus_m.inc.d9","x.r76_female_hypothalamus_m.inc.d9","x.r76","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation"
"x.r76_female_pituitary_m.inc.d9","x.r76_female_pituitary_m.inc.d9","x.r76","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation"
"x.s188_female_gonad_m.inc.d8","x.s188_female_gonad_m.inc.d8","x.s188","female","gonad","m.inc.d8","female.gonad.m.inc.d8","manipulation"
"x.s188_female_hypothalamus_m.inc.d8","x.s188_female_hypothalamus_m.inc.d8","x.s188","female","hypothalamus","m.inc.d8","female.hypothalamus.m.inc.d8","manipulation"
"x.s188_female_pituitary_m.inc.d8","x.s188_female_pituitary_m.inc.d8","x.s188","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation"
"x.y119.w11_female_gonad_m.inc.d17","x.y119.w11_female_gonad_m.inc.d17","x.y119.w11","female","gonad","m.inc.d17","female.gonad.m.inc.d17","manipulation"
"x.y119.w11_female_hypothalamus_m.inc.d17","x.y119.w11_female_hypothalamus_m.inc.d17","x.y119.w11","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation"
"x.y119.w11_female_pituitary_m.inc.d17","x.y119.w11_female_pituitary_m.inc.d17","x.y119.w11","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation"
"x.y145.r55_female_gonad_inc.prolong","x.y145.r55_female_gonad_inc.prolong","x.y145.r55","female","gonad","prolong","female.gonad.prolong","manipulation"
"x.y145.r55_female_hypothalamus_inc.prolong","x.y145.r55_female_hypothalamus_inc.prolong","x.y145.r55","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation"
"x.y145.r55_female_pituitary_inc.prolong","x.y145.r55_female_pituitary_inc.prolong","x.y145.r55","female","pituitary","prolong","female.pituitary.prolong","manipulation"
"x.y51_male_gonad_m.inc.d8","x.y51_male_gonad_m.inc.d8","x.y51","male","gonad","m.inc.d8","male.gonad.m.inc.d8","manipulation"
"x.y51_male_hypothalamus_m.inc.d8","x.y51_male_hypothalamus_m.inc.d8","x.y51","male","hypothalamus","m.inc.d8","male.hypothalamus.m.inc.d8","manipulation"
"x.y51_male_pituitary_m.inc.d8","x.y51_male_pituitary_m.inc.d8","x.y51","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation"
"x.y5_female_gonad_m.inc.d8","x.y5_female_gonad_m.inc.d8","x.y5","female","gonad","m.inc.d8","female.gonad.m.inc.d8","manipulation"
"x.y5_female_hypothalamus_m.inc.d8","x.y5_female_hypothalamus_m.inc.d8","x.y5","female","hypothalamus","m.inc.d8","female.hypothalamus.m.inc.d8","manipulation"
"x.y5_female_pituitary_m.inc.d8","x.y5_female_pituitary_m.inc.d8","x.y5","female","pituitary","m.inc.d8","female.pituitary.m.inc.d8","manipulation"
"x.y64_female_gonad_extend","x.y64_female_gonad_extend","x.y64","female","gonad","extend","female.gonad.extend","manipulation"
"x.y64_female_hypothalamus_extend","x.y64_female_hypothalamus_extend","x.y64","female","hypothalamus","extend","female.hypothalamus.extend","manipulation"
"x.y64_female_pituitary_extend","x.y64_female_pituitary_extend","x.y64","female","pituitary","extend","female.pituitary.extend","manipulation"
"x.y79_male_gonad_prolong","x.y79_male_gonad_prolong","x.y79","male","gonad","prolong","male.gonad.prolong","manipulation"
"x.y79_male_hypothalamus_prolong","x.y79_male_hypothalamus_prolong","x.y79","male","hypothalamus","prolong","male.hypothalamus.prolong","manipulation"
"x.y79_male_pituitary_prolong","x.y79_male_pituitary_prolong","x.y79","male","pituitary","prolong","male.pituitary.prolong","manipulation"
"y.w.blk_male_gonad_m.inc.d9","y.w.blk_male_gonad_m.inc.d9","y.w.blk","male","gonad","m.inc.d9","male.gonad.m.inc.d9","manipulation"
"y.w.blk_male_hypothalamus_m.inc.d9","y.w.blk_male_hypothalamus_m.inc.d9","y.w.blk","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation"
"y.w.blk_male_pituitary_m.inc.d9","y.w.blk_male_pituitary_m.inc.d9","y.w.blk","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation"
"y12.x_female_gonad_m.inc.d9","y12.x_female_gonad_m.inc.d9","y12.x","female","gonad","m.inc.d9","female.gonad.m.inc.d9","manipulation"
"y12.x_female_hypothalamus_m.inc.d9","y12.x_female_hypothalamus_m.inc.d9","y12.x","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation"
"y12.x_female_pituitary_m.inc.d9","y12.x_female_pituitary_m.inc.d9","y12.x","female","pituitary","m.inc.d9","female.pituitary.m.inc.d9","manipulation"
"y128.g23.x_female_hypothalamus_m.inc.d9","y128.g23.x_female_hypothalamus_m.inc.d9","y128.g23.x","female","hypothalamus","m.inc.d9","female.hypothalamus.m.inc.d9","manipulation"
"y146.r32.x_female_gonad_inc.prolong","y146.r32.x_female_gonad_inc.prolong","y146.r32.x","female","gonad","prolong","female.gonad.prolong","manipulation"
"y146.r32.x_female_hypothalamus_inc.prolong","y146.r32.x_female_hypothalamus_inc.prolong","y146.r32.x","female","hypothalamus","prolong","female.hypothalamus.prolong","manipulation"
"y146.r32.x_female_pituitary_inc.prolong","y146.r32.x_female_pituitary_inc.prolong","y146.r32.x","female","pituitary","prolong","female.pituitary.prolong","manipulation"
"y148.w81.g145_male_gonad_m.inc.d17","y148.w81.g145_male_gonad_m.inc.d17","y148.w81.g145","male","gonad","m.inc.d17","male.gonad.m.inc.d17","manipulation"
"y148.w81.g145_male_hypothalamus_m.inc.d17","y148.w81.g145_male_hypothalamus_m.inc.d17","y148.w81.g145","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation"
"y148.w81.g145_male_pituitary_m.inc.d17","y148.w81.g145_male_pituitary_m.inc.d17","y148.w81.g145","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation"
"y18.x_male_gonad_m.inc.d3","y18.x_male_gonad_m.inc.d3","y18.x","male","gonad","m.inc.d3","male.gonad.m.inc.d3","manipulation"
"y18.x_male_hypothalamus_m.inc.d3","y18.x_male_hypothalamus_m.inc.d3","y18.x","male","hypothalamus","m.inc.d3","male.hypothalamus.m.inc.d3","manipulation"
"y18.x_male_pituitary_m.inc.d3","y18.x_male_pituitary_m.inc.d3","y18.x","male","pituitary","m.inc.d3","male.pituitary.m.inc.d3","manipulation"
"y4.x_male_gonad_m.inc.d17","y4.x_male_gonad_m.inc.d17","y4.x","male","gonad","m.inc.d17","male.gonad.m.inc.d17","manipulation"
"y4.x_male_hypothalamus_m.inc.d17","y4.x_male_hypothalamus_m.inc.d17","y4.x","male","hypothalamus","m.inc.d17","male.hypothalamus.m.inc.d17","manipulation"
"y4.x_male_pituitary_m.inc.d17","y4.x_male_pituitary_m.inc.d17","y4.x","male","pituitary","m.inc.d17","male.pituitary.m.inc.d17","manipulation"
"y55.x_male_gonad_m.inc.d8","y55.x_male_gonad_m.inc.d8","y55.x","male","gonad","m.inc.d8","male.gonad.m.inc.d8","manipulation"
"y55.x_male_hypothalamus_m.inc.d8","y55.x_male_hypothalamus_m.inc.d8","y55.x","male","hypothalamus","m.inc.d8","male.hypothalamus.m.inc.d8","manipulation"
"y55.x_male_pituitary_m.inc.d8","y55.x_male_pituitary_m.inc.d8","y55.x","male","pituitary","m.inc.d8","male.pituitary.m.inc.d8","manipulation"
"y63.x_male_gonad_m.inc.d9","y63.x_male_gonad_m.inc.d9","y63.x","male","gonad","m.inc.d9","male.gonad.m.inc.d9","manipulation"
"y63.x_male_hypothalamus_m.inc.d9","y63.x_male_hypothalamus_m.inc.d9","y63.x","male","hypothalamus","m.inc.d9","male.hypothalamus.m.inc.d9","manipulation"
"y63.x_male_pituitary_m.inc.d9","y63.x_male_pituitary_m.inc.d9","y63.x","male","pituitary","m.inc.d9","male.pituitary.m.inc.d9","manipulation"
"y85.r71.x_female_gonad_m.inc.d17","y85.r71.x_female_gonad_m.inc.d17","y85.r71.x","female","gonad","m.inc.d17","female.gonad.m.inc.d17","manipulation"
"y85.r71.x_female_hypothalamus_m.inc.d17","y85.r71.x_female_hypothalamus_m.inc.d17","y85.r71.x","female","hypothalamus","m.inc.d17","female.hypothalamus.m.inc.d17","manipulation"
"y85.r71.x_female_pituitary_m.inc.d17","y85.r71.x_female_pituitary_m.inc.d17","y85.r71.x","female","pituitary","m.inc.d17","female.pituitary.m.inc.d17","manipulation"
"y98.g54_female_gonad_m.hatch","y98.g54_female_gonad_m.hatch","y98.g54","female","gonad","m.n2","female.gonad.m.n2","manipulation"
"y98.g54_female_hypothalamus_m.hatch","y98.g54_female_hypothalamus_m.hatch","y98.g54","female","hypothalamus","m.n2","female.hypothalamus.m.n2","manipulation"
"y98.g54_female_pituitary_m.hatch","y98.g54_female_pituitary_m.hatch","y98.g54","female","pituitary","m.n2","female.pituitary.m.n2","manipulation"
