"","V1","bird","sex","tissue","treatment","group","study"
"x.blu106.o153_male_pituitary_inc.d9.NYNO","x.blu106.o153_male_pituitary_inc.d9.NYNO","x.blu106.o153","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization"
"x.blu109.w121_female_gonad_n5","x.blu109.w121_female_gonad_n5","x.blu109.w121","female","gonad","n5","female.gonad.n5","charcterization"
"x.blu109.w121_female_hypothalamus_n5","x.blu109.w121_female_hypothalamus_n5","x.blu109.w121","female","hypothalamus","n5","female.hypothalamus.n5","charcterization"
"x.blu109.w121_female_pituitary_n5","x.blu109.w121_female_pituitary_n5","x.blu109.w121","female","pituitary","n5","female.pituitary.n5","charcterization"
"x.blu116.w107_female_gonad_inc.d17","x.blu116.w107_female_gonad_inc.d17","x.blu116.w107","female","gonad","inc.d17","female.gonad.inc.d17","charcterization"
"x.blu116.w107_female_hypothalamus_inc.d17","x.blu116.w107_female_hypothalamus_inc.d17","x.blu116.w107","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization"
"x.blu116.w107_female_pituitary_inc.d17.NYNO","x.blu116.w107_female_pituitary_inc.d17.NYNO","x.blu116.w107","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization"
"x.blu117.w89_male_gonad_inc.d17","x.blu117.w89_male_gonad_inc.d17","x.blu117.w89","male","gonad","inc.d17","male.gonad.inc.d17","charcterization"
"x.blu117.w89_male_hypothalamus_inc.d17","x.blu117.w89_male_hypothalamus_inc.d17","x.blu117.w89","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization"
"x.blu117.w89_male_pituitary_inc.d17","x.blu117.w89_male_pituitary_inc.d17","x.blu117.w89","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization"
"x.blu122.r66_female_gonad_inc.d9","x.blu122.r66_female_gonad_inc.d9","x.blu122.r66","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"x.blu122.r66_female_hypothalamus_inc.d9","x.blu122.r66_female_hypothalamus_inc.d9","x.blu122.r66","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"x.blu122.r66_female_pituitary_inc.d9","x.blu122.r66_female_pituitary_inc.d9","x.blu122.r66","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"x.blu23.w14_male_gonad_n9","x.blu23.w14_male_gonad_n9","x.blu23.w14","male","gonad","n9","male.gonad.n9","charcterization"
"x.blu23.w14_male_hypothalamus_n9","x.blu23.w14_male_hypothalamus_n9","x.blu23.w14","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"x.blu23.w14_male_pituitary_n9","x.blu23.w14_male_pituitary_n9","x.blu23.w14","male","pituitary","n9","male.pituitary.n9","charcterization"
"x.blu30_male_gonad_n5","x.blu30_male_gonad_n5","x.blu30","male","gonad","n5","male.gonad.n5","charcterization"
"x.blu30_male_hypothalamus_n5","x.blu30_male_hypothalamus_n5","x.blu30","male","hypothalamus","n5","male.hypothalamus.n5","charcterization"
"x.blu30_male_pituitary_n5","x.blu30_male_pituitary_n5","x.blu30","male","pituitary","n5","male.pituitary.n5","charcterization"
"x.blu42.o28_male_gonad_inc.d3","x.blu42.o28_male_gonad_inc.d3","x.blu42.o28","male","gonad","inc.d3","male.gonad.inc.d3","charcterization"
"x.blu42.o28_male_hypothalamus_inc.d3.NYNO","x.blu42.o28_male_hypothalamus_inc.d3.NYNO","x.blu42.o28","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization"
"x.blu42.o28_male_pituitary_inc.d3","x.blu42.o28_male_pituitary_inc.d3","x.blu42.o28","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization"
"x.blu43.g132_female_gonad_n9","x.blu43.g132_female_gonad_n9","x.blu43.g132","female","gonad","n9","female.gonad.n9","charcterization"
"x.blu43.g132_female_hypothalamus_n9","x.blu43.g132_female_hypothalamus_n9","x.blu43.g132","female","hypothalamus","n9","female.hypothalamus.n9","charcterization"
"x.blu43.g132_female_pituitary_n9","x.blu43.g132_female_pituitary_n9","x.blu43.g132","female","pituitary","n9","female.pituitary.n9","charcterization"
"x.blu6.y80_female_gonad_lay","x.blu6.y80_female_gonad_lay","x.blu6.y80","female","gonad","lay","female.gonad.lay","charcterization"
"x.blu6.y80_female_hypothalamus_lay","x.blu6.y80_female_hypothalamus_lay","x.blu6.y80","female","hypothalamus","lay","female.hypothalamus.lay","charcterization"
"x.blu6.y80_female_pituitary_lay","x.blu6.y80_female_pituitary_lay","x.blu6.y80","female","pituitary","lay","female.pituitary.lay","charcterization"
"x.g.ATLAS_male_gonad_control","x.g.ATLAS_male_gonad_control","x.g.ATLAS","male","gonad","control","male.gonad.control","charcterization"
"x.g.ATLAS_male_hypothalamus_control","x.g.ATLAS_male_hypothalamus_control","x.g.ATLAS","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"x.g.ATLAS_male_pituitary_control","x.g.ATLAS_male_pituitary_control","x.g.ATLAS","male","pituitary","control","male.pituitary.control","charcterization"
"x.g.g.ATLAS_female_gonad_control","x.g.g.ATLAS_female_gonad_control","x.g.g.ATLAS","female","gonad","control","female.gonad.control","charcterization"
"x.g.g.ATLAS_male_gonad_control","x.g.g.ATLAS_male_gonad_control","x.g.g.ATLAS","male","gonad","control","male.gonad.control","charcterization"
"x.g.g.ATLAS_male_hypothalamus_control","x.g.g.ATLAS_male_hypothalamus_control","x.g.g.ATLAS","male","hypothalamus","control","male.hypothalamus.control","charcterization"
"x.g.g.ATLAS_male_pituitary_control","x.g.g.ATLAS_male_pituitary_control","x.g.g.ATLAS","male","pituitary","control","male.pituitary.control","charcterization"
"x.g.g.g.ATLAS_male_gonad_control","x.g.g.g.ATLAS_male_gonad_control","x.g.g.g.ATLAS","male","gonad","control","male.gonad.control","charcterization"
"x.g.g.g.ATLAS_male_pituitary_control","x.g.g.g.ATLAS_male_pituitary_control","x.g.g.g.ATLAS","male","pituitary","control","male.pituitary.control","charcterization"
"x.g13.w109_male_gonad_inc.d9","x.g13.w109_male_gonad_inc.d9","x.g13.w109","male","gonad","inc.d9","male.gonad.inc.d9","charcterization"
"x.g13.w109_male_hypothalamus_inc.d9","x.g13.w109_male_hypothalamus_inc.d9","x.g13.w109","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization"
"x.g13.w109_male_pituitary_inc.d9","x.g13.w109_male_pituitary_inc.d9","x.g13.w109","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization"
"x.g14.w199_male_gonad_inc.d17","x.g14.w199_male_gonad_inc.d17","x.g14.w199","male","gonad","inc.d17","male.gonad.inc.d17","charcterization"
"x.g14.w199_male_hypothalamus_inc.d17","x.g14.w199_male_hypothalamus_inc.d17","x.g14.w199","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization"
"x.g14.w199_male_pituitary_inc.d17","x.g14.w199_male_pituitary_inc.d17","x.g14.w199","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization"
"x.g147.blu28_male_gonad_inc.d3","x.g147.blu28_male_gonad_inc.d3","x.g147.blu28","male","gonad","inc.d3","male.gonad.inc.d3","charcterization"
"x.g147.blu28_male_hypothalamus_inc.d3","x.g147.blu28_male_hypothalamus_inc.d3","x.g147.blu28","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization"
"x.g147.blu28_male_pituitary_inc.d3","x.g147.blu28_male_pituitary_inc.d3","x.g147.blu28","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization"
"x.g37_female_gonad_n5","x.g37_female_gonad_n5","x.g37","female","gonad","n5","female.gonad.n5","charcterization"
"x.g37_female_hypothalamus_n5","x.g37_female_hypothalamus_n5","x.g37","female","hypothalamus","n5","female.hypothalamus.n5","charcterization"
"x.g37_female_pituitary_n5","x.g37_female_pituitary_n5","x.g37","female","pituitary","n5","female.pituitary.n5","charcterization"
"x.g4.w50_female_gonad_n9","x.g4.w50_female_gonad_n9","x.g4.w50","female","gonad","n9","female.gonad.n9","charcterization"
"x.g4.w50_female_hypothalamus_n9","x.g4.w50_female_hypothalamus_n9","x.g4.w50","female","hypothalamus","n9","female.hypothalamus.n9","charcterization"
"x.g4.w50_female_pituitary_n9","x.g4.w50_female_pituitary_n9","x.g4.w50","female","pituitary","n9","female.pituitary.n9","charcterization"
"x.g43_female_gonad_n5","x.g43_female_gonad_n5","x.g43","female","gonad","n5","female.gonad.n5","charcterization"
"x.g43_female_hypothalamus_n5","x.g43_female_hypothalamus_n5","x.g43","female","hypothalamus","n5","female.hypothalamus.n5","charcterization"
"x.g43_female_pituitary_n5","x.g43_female_pituitary_n5","x.g43","female","pituitary","n5","female.pituitary.n5","charcterization"
"x.g49_female_gonad_n5","x.g49_female_gonad_n5","x.g49","female","gonad","n5","female.gonad.n5","charcterization"
"x.g49_female_hypothalamus_n5","x.g49_female_hypothalamus_n5","x.g49","female","hypothalamus","n5","female.hypothalamus.n5","charcterization"
"x.g49_female_pituitary_n5.NYNO","x.g49_female_pituitary_n5.NYNO","x.g49","female","pituitary","n5","female.pituitary.n5","charcterization"
"x.g70_male_gonad_hatch","x.g70_male_gonad_hatch","x.g70","male","gonad","hatch","male.gonad.hatch","charcterization"
"x.g70_male_hypothalamus_hatch","x.g70_male_hypothalamus_hatch","x.g70","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization"
"x.g70_male_pituitary_hatch","x.g70_male_pituitary_hatch","x.g70","male","pituitary","hatch","male.pituitary.hatch","charcterization"
"x.g9.o166_female_gonad_inc.d9.NYNO","x.g9.o166_female_gonad_inc.d9.NYNO","x.g9.o166","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"x.g9.o166_female_hypothalamus_inc.d9","x.g9.o166_female_hypothalamus_inc.d9","x.g9.o166","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"x.g9.o166_female_pituitary_inc.d9.NYNO","x.g9.o166_female_pituitary_inc.d9.NYNO","x.g9.o166","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"x.o159.w90_female_gonad_inc.d17","x.o159.w90_female_gonad_inc.d17","x.o159.w90","female","gonad","inc.d17","female.gonad.inc.d17","charcterization"
"x.o159.w90_female_hypothalamus_inc.d17","x.o159.w90_female_hypothalamus_inc.d17","x.o159.w90","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization"
"x.o159.w90_female_pituitary_inc.d17","x.o159.w90_female_pituitary_inc.d17","x.o159.w90","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization"
"x.o160.w102_male_gonad_hatch","x.o160.w102_male_gonad_hatch","x.o160.w102","male","gonad","hatch","male.gonad.hatch","charcterization"
"x.o160.w102_male_hypothalamus_hatch","x.o160.w102_male_hypothalamus_hatch","x.o160.w102","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization"
"x.o160.w102_male_pituitary_hatch","x.o160.w102_male_pituitary_hatch","x.o160.w102","male","pituitary","hatch","male.pituitary.hatch","charcterization"
"x.o163.w101_male_gonad_inc.d3","x.o163.w101_male_gonad_inc.d3","x.o163.w101","male","gonad","inc.d3","male.gonad.inc.d3","charcterization"
"x.o163.w101_male_hypothalamus_inc.d3","x.o163.w101_male_hypothalamus_inc.d3","x.o163.w101","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization"
"x.o163.w101_male_pituitary_inc.d3.NYNO","x.o163.w101_male_pituitary_inc.d3.NYNO","x.o163.w101","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization"
"x.o164.w123_male_gonad_n5","x.o164.w123_male_gonad_n5","x.o164.w123","male","gonad","n5","male.gonad.n5","charcterization"
"x.o164.w123_male_hypothalamus_n5","x.o164.w123_male_hypothalamus_n5","x.o164.w123","male","hypothalamus","n5","male.hypothalamus.n5","charcterization"
"x.o164.w123_male_pituitary_n5.NYNO","x.o164.w123_male_pituitary_n5.NYNO","x.o164.w123","male","pituitary","n5","male.pituitary.n5","charcterization"
"x.o175.g21_female_gonad_n5","x.o175.g21_female_gonad_n5","x.o175.g21","female","gonad","n5","female.gonad.n5","charcterization"
"x.o175.g21_female_hypothalamus_n5","x.o175.g21_female_hypothalamus_n5","x.o175.g21","female","hypothalamus","n5","female.hypothalamus.n5","charcterization"
"x.o175.g21_female_pituitary_n5","x.o175.g21_female_pituitary_n5","x.o175.g21","female","pituitary","n5","female.pituitary.n5","charcterization"
"x.o2_male_gonad_n9","x.o2_male_gonad_n9","x.o2","male","gonad","n9","male.gonad.n9","charcterization"
"x.o2_male_hypothalamus_n9","x.o2_male_hypothalamus_n9","x.o2","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"x.o2_male_pituitary_n9","x.o2_male_pituitary_n9","x.o2","male","pituitary","n9","male.pituitary.n9","charcterization"
"x.o30.g134_male_gonad_bldg","x.o30.g134_male_gonad_bldg","x.o30.g134","male","gonad","bldg","male.gonad.bldg","charcterization"
"x.o30.g134_male_hypothalamus_bldg","x.o30.g134_male_hypothalamus_bldg","x.o30.g134","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization"
"x.o30.g134_male_pituitary_bldg","x.o30.g134_male_pituitary_bldg","x.o30.g134","male","pituitary","bldg","male.pituitary.bldg","charcterization"
"x.o37.blu50_female_gonad_hatch","x.o37.blu50_female_gonad_hatch","x.o37.blu50","female","gonad","hatch","female.gonad.hatch","charcterization"
"x.o37.blu50_female_hypothalamus_hatch.NYNO","x.o37.blu50_female_hypothalamus_hatch.NYNO","x.o37.blu50","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization"
"x.o37.blu50_female_pituitary_hatch","x.o37.blu50_female_pituitary_hatch","x.o37.blu50","female","pituitary","hatch","female.pituitary.hatch","charcterization"
"x.o47.y82_male_gonad_inc.d9","x.o47.y82_male_gonad_inc.d9","x.o47.y82","male","gonad","inc.d9","male.gonad.inc.d9","charcterization"
"x.o47.y82_male_hypothalamus_inc.d9","x.o47.y82_male_hypothalamus_inc.d9","x.o47.y82","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization"
"x.o47.y82_male_pituitary_inc.d9","x.o47.y82_male_pituitary_inc.d9","x.o47.y82","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization"
"x.o68_male_gonad_n5","x.o68_male_gonad_n5","x.o68","male","gonad","n5","male.gonad.n5","charcterization"
"x.o68_male_hypothalamus_n5","x.o68_male_hypothalamus_n5","x.o68","male","hypothalamus","n5","male.hypothalamus.n5","charcterization"
"x.o68_male_pituitary_n5","x.o68_male_pituitary_n5","x.o68","male","pituitary","n5","male.pituitary.n5","charcterization"
"x.o70_female_gonad_n5","x.o70_female_gonad_n5","x.o70","female","gonad","n5","female.gonad.n5","charcterization"
"x.o70_female_hypothalamus_n5.NYNO","x.o70_female_hypothalamus_n5.NYNO","x.o70","female","hypothalamus","n5","female.hypothalamus.n5","charcterization"
"x.o70_female_pituitary_n5","x.o70_female_pituitary_n5","x.o70","female","pituitary","n5","female.pituitary.n5","charcterization"
"x.r178_male_gonad_hatch","x.r178_male_gonad_hatch","x.r178","male","gonad","hatch","male.gonad.hatch","charcterization"
"x.r178_male_hypothalamus_hatch","x.r178_male_hypothalamus_hatch","x.r178","male","hypothalamus","hatch","male.hypothalamus.hatch","charcterization"
"x.r178_male_pituitary_hatch","x.r178_male_pituitary_hatch","x.r178","male","pituitary","hatch","male.pituitary.hatch","charcterization"
"x.r181_male_gonad_n5","x.r181_male_gonad_n5","x.r181","male","gonad","n5","male.gonad.n5","charcterization"
"x.r181_male_hypothalamus_n5","x.r181_male_hypothalamus_n5","x.r181","male","hypothalamus","n5","male.hypothalamus.n5","charcterization"
"x.r181_male_pituitary_n5","x.r181_male_pituitary_n5","x.r181","male","pituitary","n5","male.pituitary.n5","charcterization"
"x.r29.w96_male_gonad_inc.d17","x.r29.w96_male_gonad_inc.d17","x.r29.w96","male","gonad","inc.d17","male.gonad.inc.d17","charcterization"
"x.r29.w96_male_hypothalamus_inc.d17","x.r29.w96_male_hypothalamus_inc.d17","x.r29.w96","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization"
"x.r29.w96_male_pituitary_inc.d17","x.r29.w96_male_pituitary_inc.d17","x.r29.w96","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization"
"x.r33.w183_female_gonad_inc.d3","x.r33.w183_female_gonad_inc.d3","x.r33.w183","female","gonad","inc.d3","female.gonad.inc.d3","charcterization"
"x.r33.w183_female_hypothalamus_inc.d3","x.r33.w183_female_hypothalamus_inc.d3","x.r33.w183","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization"
"x.r33.w183_female_pituitary_inc.d3","x.r33.w183_female_pituitary_inc.d3","x.r33.w183","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization"
"x.r39.g10_female_gonad_bldg","x.r39.g10_female_gonad_bldg","x.r39.g10","female","gonad","bldg","female.gonad.bldg","charcterization"
"x.r39.g10_female_hypothalamus_bldg","x.r39.g10_female_hypothalamus_bldg","x.r39.g10","female","hypothalamus","bldg","female.hypothalamus.bldg","charcterization"
"x.r39.g10_female_pituitary_bldg","x.r39.g10_female_pituitary_bldg","x.r39.g10","female","pituitary","bldg","female.pituitary.bldg","charcterization"
"x.r44.w95_female_gonad_hatch","x.r44.w95_female_gonad_hatch","x.r44.w95","female","gonad","hatch","female.gonad.hatch","charcterization"
"x.r44.w95_female_hypothalamus_hatch","x.r44.w95_female_hypothalamus_hatch","x.r44.w95","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization"
"x.r44.w95_female_pituitary_hatch","x.r44.w95_female_pituitary_hatch","x.r44.w95","female","pituitary","hatch","female.pituitary.hatch","charcterization"
"x.r48.y139_female_gonad_inc.d17","x.r48.y139_female_gonad_inc.d17","x.r48.y139","female","gonad","inc.d17","female.gonad.inc.d17","charcterization"
"x.r48.y139_female_hypothalamus_inc.d17","x.r48.y139_female_hypothalamus_inc.d17","x.r48.y139","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization"
"x.r48.y139_female_pituitary_inc.d17.NYNO","x.r48.y139_female_pituitary_inc.d17.NYNO","x.r48.y139","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization"
"x.r50.w97_female_gonad_n5","x.r50.w97_female_gonad_n5","x.r50.w97","female","gonad","n5","female.gonad.n5","charcterization"
"x.r50.w97_female_hypothalamus_n5","x.r50.w97_female_hypothalamus_n5","x.r50.w97","female","hypothalamus","n5","female.hypothalamus.n5","charcterization"
"x.r50.w97_female_pituitary_n5","x.r50.w97_female_pituitary_n5","x.r50.w97","female","pituitary","n5","female.pituitary.n5","charcterization"
"x.r64.g140_male_gonad_inc.d3","x.r64.g140_male_gonad_inc.d3","x.r64.g140","male","gonad","inc.d3","male.gonad.inc.d3","charcterization"
"x.r64.g140_male_hypothalamus_inc.d3","x.r64.g140_male_hypothalamus_inc.d3","x.r64.g140","male","hypothalamus","inc.d3","male.hypothalamus.inc.d3","charcterization"
"x.r64.g140_male_pituitary_inc.d3","x.r64.g140_male_pituitary_inc.d3","x.r64.g140","male","pituitary","inc.d3","male.pituitary.inc.d3","charcterization"
"x.r67.blu35_male_gonad_bldg","x.r67.blu35_male_gonad_bldg","x.r67.blu35","male","gonad","bldg","male.gonad.bldg","charcterization"
"x.r67.blu35_male_hypothalamus_bldg","x.r67.blu35_male_hypothalamus_bldg","x.r67.blu35","male","hypothalamus","bldg","male.hypothalamus.bldg","charcterization"
"x.r67.blu35_male_pituitary_bldg.NYNO","x.r67.blu35_male_pituitary_bldg.NYNO","x.r67.blu35","male","pituitary","bldg","male.pituitary.bldg","charcterization"
"x.w178_female_gonad_n9","x.w178_female_gonad_n9","x.w178","female","gonad","n9","female.gonad.n9","charcterization"
"x.w178_female_hypothalamus_n9","x.w178_female_hypothalamus_n9","x.w178","female","hypothalamus","n9","female.hypothalamus.n9","charcterization"
"x.w178_female_pituitary_n9","x.w178_female_pituitary_n9","x.w178","female","pituitary","n9","female.pituitary.n9","charcterization"
"x.w192.o157_male_gonad_inc.d9","x.w192.o157_male_gonad_inc.d9","x.w192.o157","male","gonad","inc.d9","male.gonad.inc.d9","charcterization"
"x.w192.o157_male_hypothalamus_inc.d9","x.w192.o157_male_hypothalamus_inc.d9","x.w192.o157","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization"
"x.w192.o157_male_pituitary_inc.d9","x.w192.o157_male_pituitary_inc.d9","x.w192.o157","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization"
"x.w51_female_gonad_lay","x.w51_female_gonad_lay","x.w51","female","gonad","lay","female.gonad.lay","charcterization"
"x.w51_female_hypothalamus_lay","x.w51_female_hypothalamus_lay","x.w51","female","hypothalamus","lay","female.hypothalamus.lay","charcterization"
"x.w51_female_pituitary_lay","x.w51_female_pituitary_lay","x.w51","female","pituitary","lay","female.pituitary.lay","charcterization"
"x.w6_female_gonad_n9","x.w6_female_gonad_n9","x.w6","female","gonad","n9","female.gonad.n9","charcterization"
"x.w6_female_hypothalamus_n9","x.w6_female_hypothalamus_n9","x.w6","female","hypothalamus","n9","female.hypothalamus.n9","charcterization"
"x.w6_female_pituitary_n9","x.w6_female_pituitary_n9","x.w6","female","pituitary","n9","female.pituitary.n9","charcterization"
"x.y.s.ATLAS_male_gonad_control","x.y.s.ATLAS_male_gonad_control","x.y.s.ATLAS","male","gonad","control","male.gonad.control","charcterization"
"x.y.s.ATLAS_male_pituitary_control","x.y.s.ATLAS_male_pituitary_control","x.y.s.ATLAS","male","pituitary","control","male.pituitary.control","charcterization"
"x.y109_female_gonad_inc.d9","x.y109_female_gonad_inc.d9","x.y109","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"x.y109_female_hypothalamus_inc.d9","x.y109_female_hypothalamus_inc.d9","x.y109","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"x.y109_female_pituitary_inc.d9","x.y109_female_pituitary_inc.d9","x.y109","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"x.y132.w76_male_gonad_inc.d17","x.y132.w76_male_gonad_inc.d17","x.y132.w76","male","gonad","inc.d17","male.gonad.inc.d17","charcterization"
"x.y132.w76_male_hypothalamus_inc.d17","x.y132.w76_male_hypothalamus_inc.d17","x.y132.w76","male","hypothalamus","inc.d17","male.hypothalamus.inc.d17","charcterization"
"x.y132.w76_male_pituitary_inc.d17","x.y132.w76_male_pituitary_inc.d17","x.y132.w76","male","pituitary","inc.d17","male.pituitary.inc.d17","charcterization"
"x.y138.w176_female_gonad_n9","x.y138.w176_female_gonad_n9","x.y138.w176","female","gonad","n9","female.gonad.n9","charcterization"
"x.y138.w176_female_hypothalamus_n9","x.y138.w176_female_hypothalamus_n9","x.y138.w176","female","hypothalamus","n9","female.hypothalamus.n9","charcterization"
"x.y138.w176_female_pituitary_n9","x.y138.w176_female_pituitary_n9","x.y138.w176","female","pituitary","n9","female.pituitary.n9","charcterization"
"x.y141.w116_male_gonad_inc.d9","x.y141.w116_male_gonad_inc.d9","x.y141.w116","male","gonad","inc.d9","male.gonad.inc.d9","charcterization"
"x.y141.w116_male_hypothalamus_inc.d9","x.y141.w116_male_hypothalamus_inc.d9","x.y141.w116","male","hypothalamus","inc.d9","male.hypothalamus.inc.d9","charcterization"
"x.y141.w116_male_pituitary_inc.d9","x.y141.w116_male_pituitary_inc.d9","x.y141.w116","male","pituitary","inc.d9","male.pituitary.inc.d9","charcterization"
"x.y90_female_gonad_hatch","x.y90_female_gonad_hatch","x.y90","female","gonad","hatch","female.gonad.hatch","charcterization"
"x.y90_female_hypothalamus_hatch","x.y90_female_hypothalamus_hatch","x.y90","female","hypothalamus","hatch","female.hypothalamus.hatch","charcterization"
"x.y90_female_pituitary_hatch","x.y90_female_pituitary_hatch","x.y90","female","pituitary","hatch","female.pituitary.hatch","charcterization"
"x.y93.g126_female_gonad_inc.d9","x.y93.g126_female_gonad_inc.d9","x.y93.g126","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"x.y93.g126_female_hypothalamus_inc.d9","x.y93.g126_female_hypothalamus_inc.d9","x.y93.g126","female","hypothalamus","inc.d9","female.hypothalamus.inc.d9","charcterization"
"x.y93.g126_female_pituitary_inc.d9","x.y93.g126_female_pituitary_inc.d9","x.y93.g126","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"x.y9_female_gonad_n9","x.y9_female_gonad_n9","x.y9","female","gonad","n9","female.gonad.n9","charcterization"
"x.y9_female_hypothalamus_n9","x.y9_female_hypothalamus_n9","x.y9","female","hypothalamus","n9","female.hypothalamus.n9","charcterization"
"x.y9_female_pituitary_n9","x.y9_female_pituitary_n9","x.y9","female","pituitary","n9","female.pituitary.n9","charcterization"
"y.s156.o.r_female_gonad_lay","y.s156.o.r_female_gonad_lay","y.s156.o.r","female","gonad","lay","female.gonad.lay","charcterization"
"y.s156.o.r_female_hypothalamus_lay","y.s156.o.r_female_hypothalamus_lay","y.s156.o.r","female","hypothalamus","lay","female.hypothalamus.lay","charcterization"
"y.s156.o.r_female_pituitary_lay","y.s156.o.r_female_pituitary_lay","y.s156.o.r","female","pituitary","lay","female.pituitary.lay","charcterization"
"y126.w92.x_female_gonad_inc.d17","y126.w92.x_female_gonad_inc.d17","y126.w92.x","female","gonad","inc.d17","female.gonad.inc.d17","charcterization"
"y126.w92.x_female_hypothalamus_inc.d17","y126.w92.x_female_hypothalamus_inc.d17","y126.w92.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization"
"y126.w92.x_female_pituitary_inc.d17","y126.w92.x_female_pituitary_inc.d17","y126.w92.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization"
"y128.g23.x_female_gonad_inc.d9","y128.g23.x_female_gonad_inc.d9","y128.g23.x","female","gonad","inc.d9","female.gonad.inc.d9","charcterization"
"y128.g23.x_female_pituitary_inc.d9","y128.g23.x_female_pituitary_inc.d9","y128.g23.x","female","pituitary","inc.d9","female.pituitary.inc.d9","charcterization"
"y129.x_male_gonad_n9","y129.x_male_gonad_n9","y129.x","male","gonad","n9","male.gonad.n9","charcterization"
"y129.x_male_hypothalamus_n9","y129.x_male_hypothalamus_n9","y129.x","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"y129.x_male_pituitary_n9","y129.x_male_pituitary_n9","y129.x","male","pituitary","n9","male.pituitary.n9","charcterization"
"y13.x_female_gonad_inc.d3","y13.x_female_gonad_inc.d3","y13.x","female","gonad","inc.d3","female.gonad.inc.d3","charcterization"
"y13.x_female_hypothalamus_inc.d3","y13.x_female_hypothalamus_inc.d3","y13.x","female","hypothalamus","inc.d3","female.hypothalamus.inc.d3","charcterization"
"y13.x_female_pituitary_inc.d3","y13.x_female_pituitary_inc.d3","y13.x","female","pituitary","inc.d3","female.pituitary.inc.d3","charcterization"
"y130.o170.x_female_gonad_inc.d17","y130.o170.x_female_gonad_inc.d17","y130.o170.x","female","gonad","inc.d17","female.gonad.inc.d17","charcterization"
"y130.o170.x_female_hypothalamus_inc.d17","y130.o170.x_female_hypothalamus_inc.d17","y130.o170.x","female","hypothalamus","inc.d17","female.hypothalamus.inc.d17","charcterization"
"y130.o170.x_female_pituitary_inc.d17","y130.o170.x_female_pituitary_inc.d17","y130.o170.x","female","pituitary","inc.d17","female.pituitary.inc.d17","charcterization"
"y131.w185.x_male_gonad_n9","y131.w185.x_male_gonad_n9","y131.w185.x","male","gonad","n9","male.gonad.n9","charcterization"
"y131.w185.x_male_hypothalamus_n9","y131.w185.x_male_hypothalamus_n9","y131.w185.x","male","hypothalamus","n9","male.hypothalamus.n9","charcterization"
"y131.w185.x_male_pituitary_n9","y131.w185.x_male_pituitary_n9","y131.w185.x","male","pituitary","n9","male.pituitary.n9","charcterization"
